covid_vacc_date,total,40-49,30-39,18-29,70-79,50-54,55-59,60-64,80+,65-69,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2021 30 Mar,10772055.0,1037029.0,679203.0,521752.0,1957921.0,1256234.0,1281987.0,1139096.0,1030596.0,985789.0,719565.0,16282.0,82201.0,64400.0
2021 31 Mar,10847025.0,1060927.0,689703.0,530404.0,1958488.0,1273139.0,1290450.0,1141476.0,1030890.0,986587.0,721077.0,16793.0,82292.0,64799.0
2021 01 Apr,10897453.0,1079855.0,697081.0,536298.0,1958964.0,1280699.0,1296253.0,1142981.0,1031205.0,987119.0,722176.0,17346.0,82369.0,65107.0
2021 02 Apr,10928407.0,1089151.0,703143.0,540211.0,1959265.0,1285207.0,1300845.0,1143870.0,1031394.0,987364.0,722652.0,17654.0,82390.0,65261.0
2021 03 Apr,10959585.0,1097964.0,708561.0,544439.0,1959489.0,1290352.0,1305878.0,1144920.0,1031548.0,987616.0,723128.0,17885.0,82425.0,65380.0
2021 04 Apr,10974446.0,1102220.0,711284.0,546630.0,1959573.0,1292501.0,1308426.0,1145396.0,1031590.0,987728.0,723345.0,17899.0,82432.0,65422.0
2021 05 Apr,10981565.0,1104509.0,712383.0,547603.0,1959636.0,1293425.0,1309525.0,1145669.0,1031618.0,987805.0,723506.0,17983.0,82432.0,65471.0
2021 06 Apr,11000444.0,1113119.0,715085.0,549647.0,1959930.0,1295406.0,1311226.0,1146243.0,1031765.0,988043.0,723947.0,18004.0,82481.0,65548.0
2021 07 Apr,11024671.0,1122905.0,719215.0,552153.0,1960322.0,1298192.0,1313165.0,1147160.0,1032094.0,988372.0,724640.0,18214.0,82544.0,65695.0
2021 08 Apr,11045608.0,1131088.0,722939.0,553861.0,1960805.0,1300775.0,1314873.0,1148119.0,1032346.0,988715.0,725200.0,18438.0,82621.0,65828.0
2021 09 Apr,11071571.0,1141581.0,727531.0,555317.0,1961267.0,1304422.0,1317141.0,1149162.0,1032598.0,989107.0,725921.0,18816.0,82712.0,65996.0
