covid_vacc_date,F,M,F_total,M_total
2022-02-19,283374.0,295764.0,574763,602861
2022-02-20,283640.0,296023.0,574763,602861
2022-02-21,284039.0,296436.0,574763,602861
2022-02-22,284459.0,296912.0,574763,602861
2022-02-23,284970.0,297451.0,574763,602861
2022-02-24,285355.0,297878.0,574763,602861
2022-02-25,285726.0,298305.0,574763,602861
2022-02-26,286251.0,298809.0,574763,602861
2022-02-27,286538.0,299068.0,574763,602861
2022-02-28,286846.0,299432.0,574763,602861
2022-03-01,287238.0,299859.0,574763,602861
2022-03-02,287574.0,300223.0,574763,602861
2022-03-03,287952.0,300566.0,574763,602861
2022-03-04,288365.0,300937.0,574763,602861
2022-03-05,288855.0,301413.0,574763,602861
2022-03-06,289093.0,301665.0,574763,602861
2022-03-07,289366.0,301931.0,574763,602861
2022-03-08,289618.0,302190.0,574763,602861
2022-03-09,289975.0,302561.0,574763,602861
2022-03-10,290290.0,302911.0,574763,602861
2022-03-11,290619.0,303289.0,574763,602861
2022-03-12,291158.0,303758.0,574763,602861
2022-03-13,291424.0,304010.0,574763,602861
2022-03-14,291697.0,304276.0,574763,602861
2022-03-15,291963.0,304626.0,574763,602861
2022-03-16,292187.0,304885.0,574763,602861
2022-03-17,292418.0,305109.0,574763,602861
2022-03-18,292747.0,305396.0,574763,602861
2022-03-19,293216.0,305837.0,574763,602861
2022-03-20,293447.0,306061.0,574763,602861
2022-03-21,293748.0,306383.0,574763,602861
2022-03-22,293979.0,306635.0,574763,602861
2022-03-23,294224.0,306873.0,574763,602861
2022-03-24,294483.0,307118.0,574763,602861
2022-03-25,294749.0,307398.0,574763,602861
2022-03-26,295246.0,307902.0,574763,602861
2022-03-27,295421.0,308119.0,574763,602861
2022-03-28,295624.0,308329.0,574763,602861
2022-03-29,295848.0,308567.0,574763,602861
2022-03-30,296093.0,308805.0,574763,602861
2022-03-31,296359.0,309085.0,574763,602861
2022-04-01,296583.0,309330.0,574763,602861
2022-04-02,297059.0,309743.0,574763,602861
2022-04-03,297318.0,309988.0,574763,602861
2022-04-04,297654.0,310352.0,574763,602861
2022-04-05,297983.0,310674.0,574763,602861
2022-04-06,298312.0,311031.0,574763,602861
2022-04-07,298655.0,311388.0,574763,602861
2022-04-08,299026.0,311766.0,574763,602861
2022-04-09,299698.0,312396.0,574763,602861
2022-04-10,300097.0,312844.0,574763,602861
2022-04-11,300608.0,313341.0,574763,602861
2022-04-12,301133.0,313831.0,574763,602861
2022-04-13,301679.0,314370.0,574763,602861
2022-04-14,302218.0,314944.0,574763,602861
2022-04-15,302484.0,315224.0,574763,602861
2022-04-16,303002.0,315714.0,574763,602861
2022-04-17,303135.0,315847.0,574763,602861
2022-04-18,303331.0,316085.0,574763,602861
2022-04-19,303737.0,316505.0,574763,602861
2022-04-20,304143.0,316862.0,574763,602861
2022-04-21,304535.0,317324.0,574763,602861
2022-04-22,304955.0,317765.0,574763,602861
2022-04-23,305613.0,318395.0,574763,602861
2022-04-24,305991.0,318773.0,574763,602861
2022-04-25,306194.0,318969.0,574763,602861
2022-04-26,306411.0,319179.0,574763,602861
2022-04-27,306663.0,319459.0,574763,602861
2022-04-28,306866.0,319683.0,574763,602861
2022-04-29,307125.0,319935.0,574763,602861
2022-04-30,307755.0,320558.0,574763,602861
2022-05-01,308063.0,320824.0,574763,602861
2022-05-02,308168.0,320957.0,574763,602861
2022-05-03,308350.0,321146.0,574763,602861
2022-05-04,308602.0,321405.0,574763,602861
2022-05-05,308812.0,321601.0,574763,602861
2022-05-06,309036.0,321818.0,574763,602861
2022-05-07,309540.0,322357.0,574763,602861
2022-05-08,309785.0,322616.0,574763,602861
2022-05-09,309911.0,322749.0,574763,602861
2022-05-10,310072.0,322896.0,574763,602861
2022-05-11,310240.0,323071.0,574763,602861
2022-05-12,310394.0,323204.0,574763,602861
2022-05-13,310597.0,323379.0,574763,602861
2022-05-14,311024.0,323764.0,574763,602861
2022-05-15,311248.0,323974.0,574763,602861
