covid_vacc_date,total,Not in a risk group,In a risk group
2022 09 Jul,829815.0,758359.0,71456.0
2022 10 Jul,830795.0,759290.0,71505.0
2022 11 Jul,831264.0,759724.0,71540.0
2022 12 Jul,831796.0,760228.0,71568.0
2022 13 Jul,832440.0,760823.0,71617.0
2022 14 Jul,833028.0,761376.0,71652.0
2022 15 Jul,833595.0,761908.0,71687.0
2022 16 Jul,835443.0,763630.0,71813.0
2022 17 Jul,836234.0,764386.0,71848.0
2022 18 Jul,836521.0,764659.0,71862.0
2022 19 Jul,836843.0,764953.0,71890.0
2022 20 Jul,837305.0,765394.0,71911.0
2022 21 Jul,837921.0,765968.0,71953.0
2022 22 Jul,838782.0,766759.0,72023.0
2022 23 Jul,840336.0,768236.0,72100.0
2022 24 Jul,841015.0,768880.0,72135.0
2022 25 Jul,841778.0,769594.0,72184.0
2022 26 Jul,842506.0,770287.0,72219.0
2022 27 Jul,843241.0,770994.0,72247.0
2022 28 Jul,844046.0,771757.0,72289.0
2022 29 Jul,844760.0,772429.0,72331.0
2022 30 Jul,845992.0,773598.0,72394.0
2022 31 Jul,846559.0,774137.0,72422.0
2022 01 Aug,847203.0,774753.0,72450.0
2022 02 Aug,847833.0,775348.0,72485.0
2022 03 Aug,848435.0,775922.0,72513.0
2022 04 Aug,848953.0,776412.0,72541.0
2022 05 Aug,849485.0,776916.0,72569.0
2022 06 Aug,850416.0,777791.0,72625.0
2022 07 Aug,850934.0,778281.0,72653.0
2022 08 Aug,851431.0,778757.0,72674.0
2022 09 Aug,851851.0,779149.0,72702.0
2022 10 Aug,852334.0,779604.0,72730.0
