time_to_second_dose,ALL,ALL_total
132.0,360780.0,606571
133.0,362677.0,606571
134.0,364224.0,606571
135.0,365589.0,606571
136.0,367108.0,606571
137.0,368648.0,606571
138.0,370139.0,606571
139.0,371399.0,606571
140.0,372925.0,606571
141.0,374136.0,606571
142.0,375193.0,606571
143.0,376278.0,606571
144.0,377454.0,606571
145.0,378574.0,606571
146.0,379841.0,606571
147.0,381171.0,606571
148.0,382389.0,606571
149.0,383481.0,606571
150.0,384629.0,606571
151.0,385749.0,606571
152.0,386806.0,606571
153.0,387926.0,606571
154.0,389179.0,606571
155.0,390257.0,606571
156.0,391349.0,606571
157.0,392315.0,606571
158.0,393393.0,606571
159.0,394464.0,606571
160.0,395395.0,606571
161.0,396655.0,606571
162.0,397719.0,606571
163.0,398762.0,606571
164.0,399784.0,606571
165.0,400799.0,606571
166.0,401772.0,606571
167.0,402703.0,606571
168.0,403774.0,606571
169.0,404726.0,606571
170.0,405727.0,606571
171.0,406707.0,606571
172.0,407575.0,606571
173.0,408513.0,606571
174.0,409353.0,606571
175.0,410326.0,606571
176.0,411180.0,606571
177.0,411992.0,606571
178.0,412825.0,606571
179.0,413546.0,606571
180.0,414281.0,606571
181.0,414981.0,606571
182.0,415765.0,606571
183.0,416521.0,606571
184.0,417312.0,606571
185.0,417984.0,606571
186.0,418663.0,606571
187.0,419335.0,606571
188.0,419916.0,606571
189.0,420511.0,606571
190.0,421162.0,606571
191.0,421764.0,606571
192.0,422373.0,606571
193.0,422947.0,606571
194.0,423472.0,606571
195.0,423969.0,606571
196.0,424550.0,606571
197.0,425110.0,606571
198.0,425649.0,606571
199.0,426181.0,606571
200.0,426678.0,606571
201.0,427133.0,606571
202.0,427553.0,606571
203.0,428029.0,606571
204.0,428463.0,606571
205.0,428967.0,606571
206.0,429422.0,606571
207.0,429835.0,606571
208.0,430220.0,606571
209.0,430570.0,606571
210.0,430976.0,606571
211.0,431396.0,606571
212.0,431781.0,606571
213.0,432131.0,606571
214.0,432488.0,606571
215.0,432831.0,606571
216.0,433146.0,606571
217.0,433482.0,606571
218.0,433790.0,606571
219.0,434133.0,606571
220.0,434455.0,606571
221.0,434763.0,606571
222.0,435099.0,606571
223.0,435386.0,606571
224.0,435708.0,606571
225.0,436058.0,606571
226.0,436373.0,606571
227.0,436660.0,606571
228.0,436975.0,606571
229.0,437255.0,606571
230.0,437521.0,606571
231.0,437787.0,606571
232.0,438081.0,606571
233.0,438375.0,606571
234.0,438676.0,606571
235.0,438977.0,606571
236.0,439243.0,606571
237.0,439488.0,606571
238.0,439747.0,606571
239.0,440062.0,606571
240.0,440377.0,606571
241.0,440671.0,606571
242.0,440958.0,606571
243.0,441217.0,606571
244.0,441434.0,606571
245.0,441721.0,606571
246.0,441987.0,606571
247.0,442232.0,606571
248.0,442491.0,606571
249.0,442736.0,606571
250.0,442981.0,606571
251.0,443198.0,606571
252.0,443408.0,606571
253.0,443618.0,606571
254.0,443884.0,606571
255.0,444129.0,606571
256.0,444381.0,606571
257.0,444612.0,606571
258.0,444822.0,606571
259.0,445011.0,606571
260.0,445214.0,606571
261.0,445452.0,606571
262.0,445669.0,606571
263.0,445865.0,606571
264.0,446047.0,606571
265.0,446208.0,606571
266.0,446362.0,606571
267.0,446551.0,606571
268.0,446705.0,606571
269.0,446873.0,606571
270.0,447041.0,606571
271.0,447188.0,606571
272.0,447307.0,606571
273.0,447405.0,606571
274.0,447559.0,606571
275.0,447685.0,606571
276.0,447825.0,606571
277.0,447944.0,606571
278.0,448063.0,606571
279.0,448154.0,606571
280.0,448238.0,606571
281.0,448343.0,606571
282.0,448441.0,606571
283.0,448532.0,606571
284.0,448616.0,606571
285.0,448700.0,606571
286.0,448770.0,606571
287.0,448833.0,606571
288.0,448910.0,606571
289.0,448980.0,606571
290.0,449057.0,606571
291.0,449127.0,606571
292.0,449183.0,606571
293.0,449232.0,606571
294.0,449288.0,606571
295.0,449337.0,606571
296.0,449379.0,606571
297.0,449421.0,606571
298.0,449456.0,606571
299.0,449484.0,606571
300.0,449519.0,606571
301.0,449533.0,606571
302.0,449568.0,606571
303.0,449596.0,606571
304.0,449610.0,606571
305.0,449631.0,606571
306.0,449645.0,606571
307.0,449673.0,606571
308.0,449687.0,606571
309.0,449701.0,606571
310.0,449708.0,606571
311.0,449722.0,606571
312.0,449729.0,606571
313.0,449736.0,606571
314.0,449743.0,606571
315.0,449750.0,606571
316.0,449757.0,606571
317.0,449764.0,606571
318.0,449764.0,606571
319.0,449771.0,606571
320.0,449771.0,606571
322.0,449778.0,606571
323.0,449778.0,606571
324.0,449778.0,606571
325.0,449785.0,606571
329.0,449785.0,606571
330.0,449785.0,606571
331.0,449792.0,606571
332.0,449792.0,606571
334.0,449792.0,606571
335.0,449799.0,606571
336.0,449799.0,606571
337.0,449799.0,606571
338.0,449806.0,606571
348.0,449806.0,606571
