covid_vacc_date,total,Priority groups,Others
2021 08 Feb,4308486.0,3617159.0,691327.0
2021 09 Feb,4440009.0,3738945.0,701064.0
2021 10 Feb,4581332.0,3869341.0,711991.0
2021 11 Feb,4748583.0,4023369.0,725214.0
2021 12 Feb,4923828.0,4182948.0,740880.0
2021 13 Feb,5105191.0,4347210.0,757981.0
2021 14 Feb,5182471.0,4414893.0,767578.0
2021 15 Feb,5263993.0,4485047.0,778946.0
2021 16 Feb,5393430.0,4595822.0,797608.0
2021 17 Feb,5572084.0,4745811.0,826273.0
2021 18 Feb,5731922.0,4876032.0,855890.0
2021 19 Feb,5861142.0,4978407.0,882735.0
2021 20 Feb,5986449.0,5076589.0,909860.0
2021 21 Feb,6034644.0,5112891.0,921753.0
2021 22 Feb,6095103.0,5159560.0,935543.0
2021 23 Feb,6212598.0,5248012.0,964586.0
2021 24 Feb,6375257.0,5371639.0,1003618.0
2021 25 Feb,6552735.0,5505787.0,1046948.0
2021 26 Feb,6739971.0,5647040.0,1092931.0
2021 27 Feb,6886852.0,5754917.0,1131935.0
2021 28 Feb,6953597.0,5804925.0,1148672.0
2021 01 Mar,7010213.0,5847310.0,1162903.0
2021 02 Mar,7076020.0,5898137.0,1177883.0
2021 03 Mar,7176288.0,5971196.0,1205092.0
2021 04 Mar,7310814.0,6072052.0,1238762.0
2021 05 Mar,7456400.0,6178865.0,1277535.0
2021 06 Mar,7610470.0,6289997.0,1320473.0
2021 07 Mar,7662753.0,6330289.0,1332464.0
2021 08 Mar,7725858.0,6380612.0,1345246.0
2021 09 Mar,7794990.0,6434533.0,1360457.0
2021 10 Mar,7874391.0,6494138.0,1380253.0
2021 11 Mar,7953400.0,6556417.0,1396983.0
2021 12 Mar,8085084.0,6655243.0,1429841.0
2021 13 Mar,8286971.0,6810713.0,1476258.0
2021 14 Mar,8382346.0,6885221.0,1497125.0
2021 15 Mar,8518405.0,6993875.0,1524530.0
2021 16 Mar,8677137.0,7119133.0,1558004.0
2021 17 Mar,8844206.0,7249711.0,1594495.0
2021 18 Mar,9043482.0,7408940.0,1634542.0
2021 19 Mar,9260937.0,7579971.0,1680966.0
2021 20 Mar,9561013.0,7815654.0,1745359.0
2021 21 Mar,9687867.0,7910763.0,1777104.0
2021 22 Mar,9800259.0,7994189.0,1806070.0
2021 23 Mar,9914415.0,8074731.0,1839684.0
2021 24 Mar,10027003.0,8148574.0,1878429.0
2021 25 Mar,10145905.0,8220744.0,1925161.0
2021 26 Mar,10280557.0,8297975.0,1982582.0
2021 27 Mar,10461339.0,8392265.0,2069074.0
2021 28 Mar,10556336.0,8439802.0,2116534.0
2021 29 Mar,10630676.0,8477028.0,2153648.0
2021 30 Mar,10703875.0,8510033.0,2193842.0
2021 31 Mar,10778740.0,8542835.0,2235905.0
2021 01 Apr,10829343.0,8561511.0,2267832.0
2021 02 Apr,10860437.0,8573558.0,2286879.0
2021 03 Apr,10891615.0,8586487.0,2305128.0
2021 04 Apr,10906623.0,8592430.0,2314193.0
2021 05 Apr,10913861.0,8595251.0,2318610.0
2021 06 Apr,10933300.0,8601439.0,2331861.0
2021 07 Apr,10957961.0,8609580.0,2348381.0
2021 08 Apr,10979185.0,8617182.0,2362003.0
2021 09 Apr,11005512.0,8626905.0,2378607.0
2021 10 Apr,11036487.0,8636607.0,2399880.0
2021 11 Apr,11051425.0,8640527.0,2410898.0
2021 12 Apr,11060742.0,8643950.0,2416792.0
2021 13 Apr,11077311.0,8648171.0,2429140.0
2021 14 Apr,11107474.0,8653533.0,2453941.0
2021 15 Apr,11146674.0,8659651.0,2487023.0
2021 16 Apr,11188149.0,8666070.0,2522079.0
2021 17 Apr,11235462.0,8672776.0,2562686.0
2021 18 Apr,11266262.0,8676318.0,2589944.0
2021 19 Apr,11296089.0,8680371.0,2615718.0
2021 20 Apr,11325230.0,8684634.0,2640596.0
2021 21 Apr,11359824.0,8689303.0,2670521.0
2021 22 Apr,11398506.0,8694140.0,2704366.0
2021 23 Apr,11439218.0,8699145.0,2740073.0
2021 24 Apr,11491361.0,8704766.0,2786595.0
2021 25 Apr,11516596.0,8707671.0,2808925.0
2021 26 Apr,11539430.0,8710548.0,2828882.0
2021 27 Apr,11573919.0,8713964.0,2859955.0
2021 28 Apr,11611537.0,8717422.0,2894115.0
2021 29 Apr,11654615.0,8721034.0,2933581.0
2021 30 Apr,11697000.0,8724632.0,2972368.0
2021 01 May,11741842.0,8727649.0,3014193.0
2021 02 May,11769233.0,8729329.0,3039904.0
2021 03 May,11791402.0,8730491.0,3060911.0
2021 04 May,11827501.0,8732500.0,3095001.0
2021 05 May,11868178.0,8735027.0,3133151.0
2021 06 May,11906769.0,8738023.0,3168746.0
2021 07 May,11951422.0,8740970.0,3210452.0
2021 08 May,12004930.0,8744162.0,3260768.0
2021 09 May,12033231.0,8745737.0,3287494.0
2021 10 May,12061567.0,8747711.0,3313856.0
2021 11 May,12097358.0,8750385.0,3346973.0
2021 12 May,12158174.0,8753920.0,3404254.0
2021 13 May,12227355.0,8757672.0,3469683.0
2021 14 May,12299245.0,8761326.0,3537919.0
2021 15 May,12381523.0,8765274.0,3616249.0
2021 16 May,12423061.0,8767283.0,3655778.0
2021 17 May,12452391.0,8769187.0,3683204.0
2021 18 May,12509273.0,8771903.0,3737370.0
2021 19 May,12603682.0,8775795.0,3827887.0
2021 20 May,12692239.0,8779533.0,3912706.0
2021 21 May,12760489.0,8782641.0,3977848.0
2021 22 May,12825939.0,8785805.0,4040134.0
2021 23 May,12865055.0,8787450.0,4077605.0
2021 24 May,12901336.0,8789214.0,4112122.0
2021 25 May,12961193.0,8791727.0,4169466.0
2021 26 May,13043702.0,8794730.0,4248972.0
2021 27 May,13127583.0,8797873.0,4329710.0
2021 28 May,13192830.0,8800561.0,4392269.0
2021 29 May,13248816.0,8803123.0,4445693.0
2021 30 May,13288184.0,8804509.0,4483675.0
2021 31 May,13316233.0,8805552.0,4510681.0
2021 01 Jun,13346074.0,8806994.0,4539080.0
2021 02 Jun,13396390.0,8808877.0,4587513.0
2021 03 Jun,13451256.0,8810998.0,4640258.0
2021 04 Jun,13505324.0,8812944.0,4692380.0
2021 05 Jun,13572370.0,8815338.0,4757032.0
2021 06 Jun,13610282.0,8816661.0,4793621.0
2021 07 Jun,13645037.0,8818040.0,4826997.0
2021 08 Jun,13684454.0,8819489.0,4864965.0
2021 09 Jun,13743646.0,8821421.0,4922225.0
2021 10 Jun,13805323.0,8823290.0,4982033.0
2021 11 Jun,13868218.0,8825173.0,5043045.0
2021 12 Jun,13953394.0,8827371.0,5126023.0
2021 13 Jun,14001435.0,8828463.0,5172972.0
2021 14 Jun,14041314.0,8829583.0,5211731.0
2021 15 Jun,14094668.0,8831039.0,5263629.0
2021 16 Jun,14159488.0,8832712.0,5326776.0
2021 17 Jun,14237293.0,8834469.0,5402824.0
2021 18 Jun,14310821.0,8836100.0,5474721.0
2021 19 Jun,14406539.0,8838459.0,5568080.0
2021 20 Jun,14461132.0,8839341.0,5621791.0
2021 21 Jun,14507458.0,8840279.0,5667179.0
2021 22 Jun,14565915.0,8841644.0,5724271.0
2021 23 Jun,14631883.0,8843072.0,5788811.0
2021 24 Jun,14699706.0,8844640.0,5855066.0
2021 25 Jun,14762286.0,8846292.0,5915994.0
2021 26 Jun,14840063.0,8848798.0,5991265.0
2021 27 Jun,14886165.0,8850121.0,6036044.0
2021 28 Jun,14919730.0,8851080.0,6068650.0
2021 29 Jun,14959385.0,8852270.0,6107115.0
2021 30 Jun,15002421.0,8853719.0,6148702.0
2021 01 Jul,15047228.0,8855189.0,6192039.0
2021 02 Jul,15082606.0,8856449.0,6226157.0
2021 03 Jul,15127602.0,8858024.0,6269578.0
2021 04 Jul,15150835.0,8858766.0,6292069.0
2021 05 Jul,15172017.0,8859683.0,6312334.0
2021 06 Jul,15197875.0,8860719.0,6337156.0
2021 07 Jul,15225665.0,8862035.0,6363630.0
2021 08 Jul,15255002.0,8863337.0,6391665.0
2021 09 Jul,15281959.0,8864709.0,6417250.0
2021 10 Jul,15311814.0,8866298.0,6445516.0
2021 11 Jul,15325275.0,8867040.0,6458235.0
2021 12 Jul,15338267.0,8867740.0,6470527.0
2021 13 Jul,15353933.0,8868629.0,6485304.0
2021 14 Jul,15373078.0,8869721.0,6503357.0
2021 15 Jul,15392419.0,8870981.0,6521438.0
2021 16 Jul,15410724.0,8872192.0,6538532.0
2021 17 Jul,15434545.0,8873753.0,6560792.0
2021 18 Jul,15445703.0,8874397.0,6571306.0
2021 19 Jul,15456742.0,8875062.0,6581680.0
2021 20 Jul,15468453.0,8875804.0,6592649.0
2021 21 Jul,15482418.0,8876707.0,6605711.0
2021 22 Jul,15495984.0,8877666.0,6618318.0
2021 23 Jul,15508843.0,8878548.0,6630295.0
2021 24 Jul,15523865.0,8879549.0,6644316.0
2021 25 Jul,15532391.0,8880046.0,6652345.0
2021 26 Jul,15541148.0,8880648.0,6660500.0
2021 27 Jul,15550906.0,8881327.0,6669579.0
2021 28 Jul,15562386.0,8882118.0,6680268.0
2021 29 Jul,15573908.0,8883007.0,6690901.0
2021 30 Jul,15584254.0,8883770.0,6700484.0
2021 31 Jul,15597372.0,8884680.0,6712692.0
2021 01 Aug,15604638.0,8885107.0,6719531.0
2021 02 Aug,15612429.0,8885653.0,6726776.0
2021 03 Aug,15621270.0,8886360.0,6734910.0
2021 04 Aug,15631336.0,8887116.0,6744220.0
2021 05 Aug,15641332.0,8887872.0,6753460.0
2021 06 Aug,15650880.0,8888635.0,6762245.0
2021 07 Aug,15665076.0,8889545.0,6775531.0
2021 08 Aug,15673035.0,8889972.0,6783063.0
2021 09 Aug,15680511.0,8890476.0,6790035.0
2021 10 Aug,15690381.0,8891113.0,6799268.0
2021 11 Aug,15703177.0,8891827.0,6811350.0
2021 12 Aug,15716428.0,8892597.0,6823831.0
2021 13 Aug,15727635.0,8893241.0,6834394.0
2021 14 Aug,15743301.0,8893941.0,6849360.0
2021 15 Aug,15753654.0,8894277.0,6859377.0
2021 16 Aug,15764049.0,8894809.0,6869240.0
2021 17 Aug,15776642.0,8895334.0,6881308.0
2021 18 Aug,15792749.0,8895936.0,6896813.0
2021 19 Aug,15809479.0,8896573.0,6912906.0
2021 20 Aug,15829709.0,8897175.0,6932534.0
2021 21 Aug,15854181.0,8897896.0,6956285.0
2021 22 Aug,15866774.0,8898218.0,6968556.0
2021 23 Aug,15880816.0,8898645.0,6982171.0
2021 24 Aug,15899905.0,8899247.0,7000658.0
2021 25 Aug,15920905.0,8899954.0,7020951.0
2021 26 Aug,15938090.0,8900612.0,7037478.0
2021 27 Aug,15952160.0,8901200.0,7050960.0
2021 28 Aug,15966734.0,8901655.0,7065079.0
2021 29 Aug,15974581.0,8901907.0,7072674.0
2021 30 Aug,15980713.0,8902117.0,7078596.0
2021 31 Aug,15993663.0,8902600.0,7091063.0
2021 01 Sep,16006375.0,8903111.0,7103264.0
2021 02 Sep,16018170.0,8903594.0,7114576.0
2021 03 Sep,16029769.0,8904119.0,7125650.0
2021 04 Sep,16042390.0,8904679.0,7137711.0
2021 05 Sep,16048417.0,8904952.0,7143465.0
2021 06 Sep,16055088.0,8905365.0,7149723.0
2021 07 Sep,16062081.0,8905785.0,7156296.0
2021 08 Sep,16069452.0,8906247.0,7163205.0
2021 09 Sep,16076900.0,8906681.0,7170219.0
2021 10 Sep,16084663.0,8907171.0,7177492.0
2021 11 Sep,16093609.0,8907717.0,7185892.0
2021 12 Sep,16098145.0,8907969.0,7190176.0
2021 13 Sep,16103605.0,8908340.0,7195265.0
2021 14 Sep,16109289.0,8908718.0,7200571.0
2021 15 Sep,16116170.0,8909257.0,7206913.0
2021 16 Sep,16122365.0,8909733.0,7212632.0
2021 17 Sep,16128147.0,8910160.0,7217987.0
2021 18 Sep,16135385.0,8910657.0,7224728.0
2021 19 Sep,16139214.0,8910867.0,7228347.0
2021 20 Sep,16144450.0,8911329.0,7233121.0
2021 21 Sep,16149875.0,8911805.0,7238070.0
2021 22 Sep,16154929.0,8912309.0,7242620.0
2021 23 Sep,16160529.0,8912862.0,7247667.0
2021 24 Sep,16165842.0,8913457.0,7252385.0
2021 25 Sep,16171407.0,8914031.0,7257376.0
2021 26 Sep,16174529.0,8914311.0,7260218.0
2021 27 Sep,16178519.0,8914780.0,7263739.0
2021 28 Sep,16182922.0,8915326.0,7267596.0
2021 29 Sep,16187871.0,8915893.0,7271978.0
2021 30 Sep,16193114.0,8916565.0,7276549.0
2021 01 Oct,16198749.0,8917223.0,7281526.0
2021 02 Oct,16204202.0,8917783.0,7286419.0
2021 03 Oct,16207702.0,8918077.0,7289625.0
2021 04 Oct,16212000.0,8918581.0,7293419.0
2021 05 Oct,16216788.0,8919176.0,7297612.0
2021 06 Oct,16222255.0,8919925.0,7302330.0
2021 07 Oct,16227267.0,8920618.0,7306649.0
2021 08 Oct,16232755.0,8921339.0,7311416.0
2021 09 Oct,16238642.0,8922137.0,7316505.0
2021 10 Oct,16242212.0,8922529.0,7319683.0
2021 11 Oct,16246405.0,8923096.0,7323309.0
2021 12 Oct,16250864.0,8923761.0,7327103.0
2021 13 Oct,16255701.0,8924454.0,7331247.0
2021 14 Oct,16260503.0,8925196.0,7335307.0
2021 15 Oct,16265718.0,8925973.0,7339745.0
2021 16 Oct,16271206.0,8926813.0,7344393.0
2021 17 Oct,16274090.0,8927128.0,7346962.0
2021 18 Oct,16277954.0,8927688.0,7350266.0
2021 19 Oct,16282063.0,8928388.0,7353675.0
2021 20 Oct,16287173.0,8929235.0,7357938.0
2021 21 Oct,16292206.0,8930089.0,7362117.0
2021 22 Oct,16297169.0,8930978.0,7366191.0
2021 23 Oct,16303098.0,8931937.0,7371161.0
2021 24 Oct,16306346.0,8932385.0,7373961.0
2021 25 Oct,16310637.0,8933029.0,7377608.0
2021 26 Oct,16315012.0,8933771.0,7381241.0
2021 27 Oct,16319996.0,8934660.0,7385336.0
2021 28 Oct,16324364.0,8935486.0,7388878.0
2021 29 Oct,16328809.0,8936340.0,7392469.0
2021 30 Oct,16332953.0,8937215.0,7395738.0
2021 31 Oct,16335270.0,8937579.0,7397691.0
2021 01 Nov,16338728.0,8938244.0,7400484.0
2021 02 Nov,16342445.0,8939091.0,7403354.0
2021 03 Nov,16346393.0,8939959.0,7406434.0
2021 04 Nov,16350054.0,8940834.0,7409220.0
2021 05 Nov,16354212.0,8941695.0,7412517.0
2021 06 Nov,16359098.0,8942745.0,7416353.0
2021 07 Nov,16361499.0,8943242.0,7418257.0
2021 08 Nov,16364880.0,8943893.0,7420987.0
2021 09 Nov,16368709.0,8944789.0,7423920.0
2021 10 Nov,16373063.0,8945776.0,7427287.0
2021 11 Nov,16377144.0,8946756.0,7430388.0
2021 12 Nov,16381379.0,8947722.0,7433657.0
2021 13 Nov,16386580.0,8948940.0,7437640.0
2021 14 Nov,16389485.0,8949514.0,7439971.0
2021 15 Nov,16392768.0,8950298.0,7442470.0
2021 16 Nov,16396590.0,8951257.0,7445333.0
2021 17 Nov,16400692.0,8952258.0,7448434.0
2021 18 Nov,16404906.0,8953343.0,7451563.0
2021 19 Nov,16408973.0,8954274.0,7454699.0
2021 20 Nov,16413852.0,8955457.0,7458395.0
2021 21 Nov,16416512.0,8956038.0,7460474.0
2021 22 Nov,16419935.0,8956822.0,7463113.0
2021 23 Nov,16423813.0,8957788.0,7466025.0
2021 24 Nov,16427817.0,8958775.0,7469042.0
2021 25 Nov,16431961.0,8959846.0,7472115.0
2021 26 Nov,16436175.0,8960861.0,7475314.0
2021 27 Nov,16441082.0,8961995.0,7479087.0
2021 28 Nov,16444372.0,8962632.0,7481740.0
2021 29 Nov,16448243.0,8963465.0,7484778.0
2021 30 Nov,16453024.0,8964536.0,7488488.0
2021 01 Dec,16458176.0,8965754.0,7492422.0
2021 02 Dec,16463286.0,8966874.0,7496412.0
2021 03 Dec,16468522.0,8967959.0,7500563.0
2021 04 Dec,16474185.0,8969128.0,7505057.0
2021 05 Dec,16477580.0,8969779.0,7507801.0
2021 06 Dec,16481598.0,8970647.0,7510951.0
2021 07 Dec,16486260.0,8971662.0,7514598.0
2021 08 Dec,16491433.0,8972761.0,7518672.0
2021 09 Dec,16497313.0,8974028.0,7523285.0
2021 10 Dec,16503081.0,8975225.0,7527856.0
2021 11 Dec,16509129.0,8976387.0,7532742.0
2021 12 Dec,16513959.0,8977178.0,7536781.0
2021 13 Dec,16520028.0,8978263.0,7541765.0
2021 14 Dec,16527539.0,8979586.0,7547953.0
2021 15 Dec,16536149.0,8980916.0,7555233.0
2021 16 Dec,16546376.0,8982505.0,7563871.0
2021 17 Dec,16556624.0,8983975.0,7572649.0
2021 18 Dec,16568146.0,8985424.0,7582722.0
2021 19 Dec,16578604.0,8986537.0,7592067.0
2021 20 Dec,16590042.0,8987937.0,7602105.0
2021 21 Dec,16602474.0,8989449.0,7613025.0
2021 22 Dec,16614465.0,8990905.0,7623560.0
2021 23 Dec,16623782.0,8992095.0,7631687.0
2021 24 Dec,16627191.0,8992550.0,7634641.0
2021 25 Dec,16627352.0,8992571.0,7634781.0
2021 26 Dec,16627912.0,8992641.0,7635271.0
2021 27 Dec,16632924.0,8993166.0,7639758.0
2021 28 Dec,16639497.0,8993796.0,7645701.0
2021 29 Dec,16647848.0,8994678.0,7653170.0
2021 30 Dec,16655996.0,8995658.0,7660338.0
2021 31 Dec,16659692.0,8996120.0,7663572.0
2022 01 Jan,16660280.0,8996176.0,7664104.0
2022 02 Jan,16663395.0,8996449.0,7666946.0
2022 03 Jan,16667630.0,8996827.0,7670803.0
2022 04 Jan,16673251.0,8997408.0,7675843.0
2022 05 Jan,16679712.0,8998171.0,7681541.0
2022 06 Jan,16685858.0,8998871.0,7686987.0
2022 07 Jan,16691997.0,8999508.0,7692489.0
2022 08 Jan,16698640.0,9000173.0,7698467.0
2022 09 Jan,16702749.0,9000537.0,7702212.0
2022 10 Jan,16706921.0,9001027.0,7705894.0
2022 11 Jan,16711499.0,9001559.0,7709940.0
2022 12 Jan,16715958.0,9002035.0,7713923.0
2022 13 Jan,16720417.0,9002553.0,7717864.0
2022 14 Jan,16725002.0,9003036.0,7721966.0
2022 15 Jan,16729972.0,9003519.0,7726453.0
2022 16 Jan,16732870.0,9003750.0,7729120.0
2022 17 Jan,16736286.0,9004065.0,7732221.0
2022 18 Jan,16740227.0,9004513.0,7735714.0
2022 19 Jan,16743860.0,9004947.0,7738913.0
2022 20 Jan,16747311.0,9005367.0,7741944.0
2022 21 Jan,16750818.0,9005752.0,7745066.0
2022 22 Jan,16754367.0,9006109.0,7748258.0
2022 23 Jan,16756278.0,9006270.0,7750008.0
2022 24 Jan,16759015.0,9006543.0,7752472.0
2022 25 Jan,16761857.0,9006830.0,7755027.0
2022 26 Jan,16764993.0,9007180.0,7757813.0
2022 27 Jan,16768220.0,9007586.0,7760634.0
2022 28 Jan,16771671.0,9007985.0,7763686.0
2022 29 Jan,16774905.0,9008335.0,7766570.0
2022 30 Jan,16777194.0,9008559.0,7768635.0
2022 31 Jan,16779672.0,9008797.0,7770875.0
2022 01 Feb,16782066.0,9009049.0,7773017.0
2022 02 Feb,16784362.0,9009301.0,7775061.0
2022 03 Feb,16786497.0,9009518.0,7776979.0
2022 04 Feb,16788555.0,9009735.0,7778820.0
2022 05 Feb,16790599.0,9009910.0,7780689.0
2022 06 Feb,16791698.0,9009980.0,7781718.0
2022 07 Feb,16793315.0,9010134.0,7783181.0
2022 08 Feb,16795044.0,9010295.0,7784749.0
2022 09 Feb,16796927.0,9010470.0,7786457.0
2022 10 Feb,16798509.0,9010624.0,7787885.0
2022 11 Feb,16800364.0,9010813.0,7789551.0
2022 12 Feb,16802226.0,9010960.0,7791266.0
2022 13 Feb,16803052.0,9011016.0,7792036.0
2022 14 Feb,16804326.0,9011128.0,7793198.0
2022 15 Feb,16805691.0,9011261.0,7794430.0
2022 16 Feb,16807336.0,9011422.0,7795914.0
2022 17 Feb,16808778.0,9011569.0,7797209.0
2022 18 Feb,16809842.0,9011674.0,7798168.0
2022 19 Feb,16811305.0,9011814.0,7799491.0
2022 20 Feb,16812026.0,9011863.0,7800163.0
2022 21 Feb,16813265.0,9011982.0,7801283.0
2022 22 Feb,16814490.0,9012122.0,7802368.0
2022 23 Feb,16815925.0,9012269.0,7803656.0
2022 24 Feb,16817143.0,9012381.0,7804762.0
2022 25 Feb,16818438.0,9012535.0,7805903.0
2022 26 Feb,16819810.0,9012668.0,7807142.0
2022 27 Feb,16820510.0,9012738.0,7807772.0
2022 28 Feb,16821504.0,9012829.0,7808675.0
2022 01 Mar,16822456.0,9012927.0,7809529.0
2022 02 Mar,16823464.0,9013032.0,7810432.0
2022 03 Mar,16824381.0,9013116.0,7811265.0
2022 04 Mar,16825389.0,9013228.0,7812161.0
2022 05 Mar,16826537.0,9013319.0,7813218.0
2022 06 Mar,16827076.0,9013368.0,7813708.0
2022 07 Mar,16827888.0,9013438.0,7814450.0
2022 08 Mar,16828819.0,9013536.0,7815283.0
2022 09 Mar,16829799.0,9013627.0,7816172.0
2022 10 Mar,16830814.0,9013732.0,7817082.0
2022 11 Mar,16831843.0,9013851.0,7817992.0
2022 12 Mar,16832928.0,9013956.0,7818972.0
2022 13 Mar,16833474.0,9013998.0,7819476.0
2022 14 Mar,16834391.0,9014089.0,7820302.0
2022 15 Mar,16835315.0,9014166.0,7821149.0
2022 16 Mar,16836232.0,9014250.0,7821982.0
2022 17 Mar,16837142.0,9014334.0,7822808.0
2022 18 Mar,16838066.0,9014439.0,7823627.0
2022 19 Mar,16839018.0,9014530.0,7824488.0
2022 20 Mar,16839543.0,9014579.0,7824964.0
2022 21 Mar,16840327.0,9014663.0,7825664.0
2022 22 Mar,16841237.0,9014803.0,7826434.0
2022 23 Mar,16842203.0,9014957.0,7827246.0
2022 24 Mar,16843029.0,9015097.0,7827932.0
2022 25 Mar,16843876.0,9015251.0,7828625.0
2022 26 Mar,16844716.0,9015384.0,7829332.0
2022 27 Mar,16845129.0,9015433.0,7829696.0
2022 28 Mar,16845822.0,9015573.0,7830249.0
2022 29 Mar,16846662.0,9015734.0,7830928.0
2022 30 Mar,16847530.0,9015909.0,7831621.0
2022 31 Mar,16848412.0,9016070.0,7832342.0
2022 01 Apr,16849280.0,9016238.0,7833042.0
2022 02 Apr,16850106.0,9016371.0,7833735.0
2022 03 Apr,16850491.0,9016427.0,7834064.0
2022 04 Apr,16851254.0,9016567.0,7834687.0
2022 05 Apr,16852052.0,9016735.0,7835317.0
2022 06 Apr,16852899.0,9016938.0,7835961.0
2022 07 Apr,16853746.0,9017162.0,7836584.0
2022 08 Apr,16854705.0,9017393.0,7837312.0
2022 09 Apr,16855643.0,9017575.0,7838068.0
2022 10 Apr,16856098.0,9017638.0,7838460.0
2022 11 Apr,16856945.0,9017806.0,7839139.0
2022 12 Apr,16857813.0,9018016.0,7839797.0
2022 13 Apr,16858758.0,9018261.0,7840497.0
2022 14 Apr,16859605.0,9018429.0,7841176.0
2022 15 Apr,16859962.0,9018499.0,7841463.0
2022 16 Apr,16860585.0,9018597.0,7841988.0
2022 17 Apr,16860718.0,9018618.0,7842100.0
2022 18 Apr,16860928.0,9018639.0,7842289.0
2022 19 Apr,16861740.0,9018765.0,7842975.0
2022 20 Apr,16862580.0,9018982.0,7843598.0
2022 21 Apr,16863448.0,9019164.0,7844284.0
2022 22 Apr,16864253.0,9019360.0,7844893.0
2022 23 Apr,16865079.0,9019556.0,7845523.0
2022 24 Apr,16865450.0,9019619.0,7845831.0
2022 25 Apr,16866157.0,9019801.0,7846356.0
2022 26 Apr,16866906.0,9020011.0,7846895.0
2022 27 Apr,16867795.0,9020256.0,7847539.0
2022 28 Apr,16868586.0,9020494.0,7848092.0
2022 29 Apr,16869370.0,9020683.0,7848687.0
2022 30 Apr,16870091.0,9020823.0,7849268.0
2022 01 May,16870392.0,9020879.0,7849513.0
2022 02 May,16870525.0,9020907.0,7849618.0
2022 03 May,16871267.0,9021089.0,7850178.0
2022 04 May,16872093.0,9021299.0,7850794.0
2022 05 May,16872989.0,9021495.0,7851494.0
2022 06 May,16873850.0,9021712.0,7852138.0
2022 07 May,16874704.0,9021866.0,7852838.0
2022 08 May,16875040.0,9021922.0,7853118.0
2022 09 May,16875698.0,9022055.0,7853643.0
2022 10 May,16876475.0,9022265.0,7854210.0
2022 11 May,16877147.0,9022426.0,7854721.0
