covid_vacc_date,total,Priority groups,Others
2021 21 May,12796700.0,8727264.0,4069436.0
2021 22 May,12862108.0,8730120.0,4131988.0
2021 23 May,12900951.0,8731576.0,4169375.0
2021 24 May,12937218.0,8733207.0,4204011.0
2021 25 May,12997138.0,8735517.0,4261621.0
2021 26 May,13079528.0,8738331.0,4341197.0
2021 27 May,13163423.0,8741243.0,4422180.0
2021 28 May,13228985.0,8743770.0,4485215.0
2021 29 May,13285230.0,8746164.0,4539066.0
2021 30 May,13324752.0,8747480.0,4577272.0
2021 31 May,13352892.0,8748425.0,4604467.0
2021 01 Jun,13382705.0,8749713.0,4632992.0
2021 02 Jun,13433210.0,8751456.0,4681754.0
2021 03 Jun,13488370.0,8753458.0,4734912.0
2021 04 Jun,13542683.0,8755292.0,4787391.0
2021 05 Jun,13609974.0,8757574.0,4852400.0
2021 06 Jun,13648096.0,8758834.0,4889262.0
2021 07 Jun,13682865.0,8760122.0,4922743.0
2021 08 Jun,13722093.0,8761515.0,4960578.0
2021 09 Jun,13781432.0,8763335.0,5018097.0
2021 10 Jun,13843599.0,8765099.0,5078500.0
2021 11 Jun,13906900.0,8766877.0,5140023.0
2021 12 Jun,13992132.0,8768942.0,5223190.0
2021 13 Jun,14040509.0,8769999.0,5270510.0
2021 14 Jun,14080822.0,8771063.0,5309759.0
2021 15 Jun,14134736.0,8772449.0,5362287.0
2021 16 Jun,14200067.0,8774003.0,5426064.0
2021 17 Jun,14278341.0,8775648.0,5502693.0
2021 18 Jun,14352667.0,8777195.0,5575472.0
2021 19 Jun,14448980.0,8779379.0,5669601.0
2021 20 Jun,14504140.0,8780219.0,5723921.0
2021 21 Jun,14550851.0,8781087.0,5769764.0
2021 22 Jun,14609875.0,8782382.0,5827493.0
2021 23 Jun,14676606.0,8783719.0,5892887.0
2021 24 Jun,14745395.0,8785182.0,5960213.0
2021 25 Jun,14808668.0,8786736.0,6021932.0
2021 26 Jun,14887103.0,8789130.0,6097973.0
2021 27 Jun,14933716.0,8790376.0,6143340.0
2021 28 Jun,14967603.0,8791286.0,6176317.0
2021 29 Jun,15007503.0,8792392.0,6215111.0
2021 30 Jun,15050707.0,8793736.0,6256971.0
2021 01 Jul,15095857.0,8795101.0,6300756.0
2021 02 Jul,15131424.0,8796291.0,6335133.0
2021 03 Jul,15176588.0,8797768.0,6378820.0
2021 04 Jul,15200017.0,8798482.0,6401535.0
2021 05 Jul,15221150.0,8799329.0,6421821.0
2021 06 Jul,15247043.0,8800281.0,6446762.0
2021 07 Jul,15274882.0,8801506.0,6473376.0
2021 08 Jul,15304303.0,8802724.0,6501579.0
2021 09 Jul,15331379.0,8804019.0,6527360.0
2021 10 Jul,15361248.0,8805510.0,6555738.0
2021 11 Jul,15374744.0,8806196.0,6568548.0
2021 12 Jul,15387687.0,8806854.0,6580833.0
2021 13 Jul,15403297.0,8807666.0,6595631.0
2021 14 Jul,15422337.0,8808702.0,6613635.0
2021 15 Jul,15441524.0,8809871.0,6631653.0
2021 16 Jul,15459822.0,8811033.0,6648789.0
2021 17 Jul,15483559.0,8812524.0,6671035.0
2021 18 Jul,15494647.0,8813126.0,6681521.0
2021 19 Jul,15505567.0,8813735.0,6691832.0
2021 20 Jul,15517166.0,8814428.0,6702738.0
2021 21 Jul,15531026.0,8815268.0,6715758.0
2021 22 Jul,15544487.0,8816171.0,6728316.0
2021 23 Jul,15557276.0,8816997.0,6740279.0
2021 24 Jul,15572270.0,8817956.0,6754314.0
2021 25 Jul,15580803.0,8818432.0,6762371.0
2021 26 Jul,15589441.0,8818978.0,6770463.0
2021 27 Jul,15599024.0,8819608.0,6779416.0
2021 28 Jul,15610364.0,8820329.0,6790035.0
2021 29 Jul,15621634.0,8821134.0,6800500.0
2021 30 Jul,15631882.0,8821848.0,6810034.0
2021 31 Jul,15644923.0,8822709.0,6822214.0
2021 01 Aug,15652161.0,8823087.0,6829074.0
2021 02 Aug,15659735.0,8823591.0,6836144.0
2021 03 Aug,15668394.0,8824249.0,6844145.0
2021 04 Aug,15678278.0,8824942.0,6853336.0
2021 05 Aug,15688106.0,8825649.0,6862457.0
2021 06 Aug,15697570.0,8826370.0,6871200.0
2021 07 Aug,15711227.0,8827224.0,6884003.0
2021 08 Aug,15718794.0,8827623.0,6891171.0
2021 09 Aug,15726109.0,8828099.0,6898010.0
2021 10 Aug,15735454.0,8828701.0,6906753.0
2021 11 Aug,15747375.0,8829359.0,6918016.0
2021 12 Aug,15759786.0,8830066.0,6929720.0
2021 13 Aug,15770356.0,8830661.0,6939695.0
2021 14 Aug,15784615.0,8831312.0,6953303.0
2021 15 Aug,15793981.0,8831620.0,6962361.0
2021 16 Aug,15803606.0,8832117.0,6971489.0
2021 17 Aug,15815058.0,8832586.0,6982472.0
2021 18 Aug,15829296.0,8833153.0,6996143.0
2021 19 Aug,15843982.0,8833727.0,7010255.0
2021 20 Aug,15861328.0,8834287.0,7027041.0
2021 21 Aug,15882202.0,8834938.0,7047264.0
2021 22 Aug,15892989.0,8835218.0,7057771.0
2021 23 Aug,15904896.0,8835610.0,7069286.0
2021 24 Aug,15921024.0,8836156.0,7084868.0
2021 25 Aug,15938426.0,8836779.0,7101647.0
2021 26 Aug,15952951.0,8837367.0,7115584.0
2021 27 Aug,15965005.0,8837913.0,7127092.0
2021 28 Aug,15977367.0,8838319.0,7139048.0
2021 29 Aug,15984031.0,8838557.0,7145474.0
2021 30 Aug,15989197.0,8838739.0,7150458.0
2021 31 Aug,15999970.0,8839152.0,7160818.0
2021 01 Sep,16010617.0,8839600.0,7171017.0
2021 02 Sep,16020655.0,8840034.0,7180621.0
2021 03 Sep,16030658.0,8840510.0,7190148.0
2021 04 Sep,16041564.0,8841014.0,7200550.0
2021 05 Sep,16046954.0,8841259.0,7205695.0
2021 06 Sep,16053086.0,8841637.0,7211449.0
2021 07 Sep,16059505.0,8842015.0,7217490.0
2021 08 Sep,16066274.0,8842428.0,7223846.0
2021 09 Sep,16073176.0,8842820.0,7230356.0
2021 10 Sep,16080253.0,8843275.0,7236978.0
2021 11 Sep,16088324.0,8843786.0,7244538.0
2021 12 Sep,16092531.0,8844017.0,7248514.0
2021 13 Sep,16097648.0,8844339.0,7253309.0
2021 14 Sep,16102947.0,8844696.0,7258251.0
2021 15 Sep,16109247.0,8845193.0,7264054.0
2021 16 Sep,16115092.0,8845648.0,7269444.0
2021 17 Sep,16120468.0,8846047.0,7274421.0
2021 18 Sep,16127174.0,8846523.0,7280651.0
2021 19 Sep,16130744.0,8846719.0,7284025.0
2021 20 Sep,16135567.0,8847132.0,7288435.0
2021 21 Sep,16140740.0,8847587.0,7293153.0
2021 22 Sep,16145514.0,8848070.0,7297444.0
2021 23 Sep,16150596.0,8848602.0,7301994.0
2021 24 Sep,16155552.0,8849183.0,7306369.0
2021 25 Sep,16160739.0,8849764.0,7310975.0
2021 26 Sep,16163686.0,8850044.0,7313642.0
2021 27 Sep,16167480.0,8850520.0,7316960.0
2021 28 Sep,16171638.0,8851059.0,7320579.0
2021 29 Sep,16176286.0,8851619.0,7324667.0
2021 30 Sep,16181130.0,8852312.0,7328818.0
2021 01 Oct,16186149.0,8852949.0,7333200.0
2021 02 Oct,16191112.0,8853523.0,7337589.0
2021 03 Oct,16194311.0,8853824.0,7340487.0
2021 04 Oct,16198385.0,8854342.0,7344043.0
2021 05 Oct,16202858.0,8854937.0,7347921.0
2021 06 Oct,16207947.0,8855679.0,7352268.0
2021 07 Oct,16212413.0,8856358.0,7356055.0
2021 08 Oct,16217425.0,8857079.0,7360346.0
2021 09 Oct,16222829.0,8857912.0,7364917.0
2021 10 Oct,16225881.0,8858269.0,7367612.0
2021 11 Oct,16229808.0,8858864.0,7370944.0
2021 12 Oct,16234057.0,8859564.0,7374493.0
2021 13 Oct,16238677.0,8860285.0,7378392.0
2021 14 Oct,16243255.0,8861048.0,7382207.0
2021 15 Oct,16248211.0,8861853.0,7386358.0
2021 16 Oct,16253475.0,8862742.0,7390733.0
2021 17 Oct,16256184.0,8863057.0,7393127.0
2021 18 Oct,16259852.0,8863659.0,7396193.0
2021 19 Oct,16263821.0,8864429.0,7399392.0
2021 20 Oct,16268714.0,8865353.0,7403361.0
2021 21 Oct,16273544.0,8866305.0,7407239.0
2021 22 Oct,16278262.0,8867278.0,7410984.0
2021 23 Oct,16283911.0,8868286.0,7415625.0
2021 24 Oct,16287096.0,8868811.0,7418285.0
2021 25 Oct,16291009.0,8869483.0,7421526.0
2021 26 Oct,16295195.0,8870281.0,7424914.0
2021 27 Oct,16299948.0,8871247.0,7428701.0
2021 28 Oct,16304141.0,8872164.0,7431977.0
2021 29 Oct,16308376.0,8873081.0,7435295.0
2021 30 Oct,16312380.0,8874019.0,7438361.0
2021 31 Oct,16314613.0,8874418.0,7440195.0
2021 01 Nov,16317952.0,8875132.0,7442820.0
2021 02 Nov,16321557.0,8876042.0,7445515.0
2021 03 Nov,16325372.0,8876987.0,7448385.0
2021 04 Nov,16328907.0,8877918.0,7450989.0
2021 05 Nov,16332897.0,8878807.0,7454090.0
2021 06 Nov,16337531.0,8879892.0,7457639.0
2021 07 Nov,16339771.0,8880396.0,7459375.0
2021 08 Nov,16342956.0,8881103.0,7461853.0
2021 09 Nov,16346540.0,8882013.0,7464527.0
2021 10 Nov,16350509.0,8882958.0,7467551.0
