covid_vacc_date,total,12-15,5-11
2021 17 Sep,9723.0,9723.0,0.0
2021 18 Sep,9968.0,9961.0,7.0
2021 19 Sep,10038.0,10031.0,7.0
2021 20 Sep,10346.0,10339.0,7.0
2021 21 Sep,10906.0,10899.0,7.0
2021 22 Sep,12922.0,12915.0,7.0
2021 23 Sep,15358.0,15351.0,7.0
2021 24 Sep,18711.0,18704.0,7.0
2021 25 Sep,19047.0,19040.0,7.0
2021 26 Sep,19110.0,19103.0,7.0
2021 27 Sep,23695.0,23688.0,7.0
2021 28 Sep,30548.0,30541.0,7.0
2021 29 Sep,36442.0,36435.0,7.0
2021 30 Sep,43715.0,43708.0,7.0
2021 01 Oct,49952.0,49945.0,7.0
2021 02 Oct,50267.0,50260.0,7.0
2021 03 Oct,50526.0,50519.0,7.0
2021 04 Oct,56630.0,56616.0,14.0
2021 05 Oct,63973.0,63959.0,14.0
2021 06 Oct,70952.0,70938.0,14.0
2021 07 Oct,78309.0,78295.0,14.0
2021 08 Oct,85302.0,85288.0,14.0
2021 09 Oct,85715.0,85701.0,14.0
2021 10 Oct,85967.0,85953.0,14.0
2021 11 Oct,93170.0,93156.0,14.0
2021 12 Oct,103551.0,103537.0,14.0
2021 13 Oct,112868.0,112854.0,14.0
2021 14 Oct,121534.0,121520.0,14.0
2021 15 Oct,130095.0,130081.0,14.0
2021 16 Oct,130935.0,130921.0,14.0
2021 17 Oct,131159.0,131145.0,14.0
2021 18 Oct,139475.0,139461.0,14.0
2021 19 Oct,149002.0,148988.0,14.0
2021 20 Oct,158249.0,158228.0,21.0
2021 21 Oct,167405.0,167384.0,21.0
2021 22 Oct,175273.0,175252.0,21.0
2021 23 Oct,177219.0,177198.0,21.0
2021 24 Oct,178318.0,178297.0,21.0
2021 25 Oct,183281.0,183260.0,21.0
2021 26 Oct,189063.0,189042.0,21.0
2021 27 Oct,195979.0,195958.0,21.0
2021 28 Oct,204050.0,204029.0,21.0
2021 29 Oct,210140.0,210119.0,21.0
2021 30 Oct,215670.0,215649.0,21.0
2021 31 Oct,220556.0,220535.0,21.0
2021 01 Nov,231084.0,231063.0,21.0
2021 02 Nov,242851.0,242823.0,28.0
2021 03 Nov,254436.0,254408.0,28.0
2021 04 Nov,266266.0,266238.0,28.0
2021 05 Nov,275261.0,275233.0,28.0
2021 06 Nov,281071.0,281043.0,28.0
2021 07 Nov,285971.0,285943.0,28.0
2021 08 Nov,294623.0,294588.0,35.0
2021 09 Nov,303730.0,303695.0,35.0
2021 10 Nov,311080.0,311038.0,42.0
2021 11 Nov,318962.0,318913.0,49.0
2021 12 Nov,325717.0,325668.0,49.0
2021 13 Nov,331044.0,330988.0,56.0
2021 14 Nov,334894.0,334838.0,56.0
2021 15 Nov,342412.0,342356.0,56.0
2021 16 Nov,347816.0,347760.0,56.0
2021 17 Nov,353654.0,353598.0,56.0
2021 18 Nov,359079.0,359023.0,56.0
2021 19 Nov,363909.0,363846.0,63.0
2021 20 Nov,367087.0,367024.0,63.0
2021 21 Nov,369537.0,369467.0,70.0
2021 22 Nov,373317.0,373247.0,70.0
2021 23 Nov,377076.0,377006.0,70.0
2021 24 Nov,380863.0,380779.0,84.0
2021 25 Nov,384531.0,384447.0,84.0
2021 26 Nov,387002.0,386911.0,91.0
2021 27 Nov,389529.0,389438.0,91.0
2021 28 Nov,391867.0,391776.0,91.0
2021 29 Nov,395052.0,394961.0,91.0
2021 30 Nov,398216.0,398125.0,91.0
2021 01 Dec,400764.0,400666.0,98.0
2021 02 Dec,403018.0,402920.0,98.0
2021 03 Dec,405006.0,404908.0,98.0
2021 04 Dec,407736.0,407638.0,98.0
2021 05 Dec,410214.0,410109.0,105.0
2021 06 Dec,412489.0,412384.0,105.0
2021 07 Dec,414260.0,414155.0,105.0
2021 08 Dec,415877.0,415765.0,112.0
2021 09 Dec,417641.0,417522.0,119.0
2021 10 Dec,419594.0,419475.0,119.0
2021 11 Dec,421855.0,421736.0,119.0
2021 12 Dec,424557.0,424431.0,126.0
2021 13 Dec,426482.0,426342.0,140.0
2021 14 Dec,428554.0,428407.0,147.0
2021 15 Dec,430318.0,430171.0,147.0
2021 16 Dec,432551.0,432397.0,154.0
2021 17 Dec,434392.0,434224.0,168.0
2021 18 Dec,437332.0,437157.0,175.0
2021 19 Dec,440580.0,440398.0,182.0
2021 20 Dec,443597.0,443415.0,182.0
2021 21 Dec,446481.0,446285.0,196.0
2021 22 Dec,449309.0,449106.0,203.0
2021 23 Dec,451913.0,451696.0,217.0
2021 24 Dec,452319.0,452095.0,224.0
2021 25 Dec,452326.0,452102.0,224.0
2021 26 Dec,452417.0,452193.0,224.0
2021 27 Dec,453817.0,453586.0,231.0
2021 28 Dec,456267.0,456029.0,238.0
2021 29 Dec,459655.0,459410.0,245.0
2021 30 Dec,463344.0,463092.0,252.0
2021 31 Dec,464681.0,464429.0,252.0
2022 01 Jan,464828.0,464569.0,259.0
2022 02 Jan,466403.0,466144.0,259.0
2022 03 Jan,468902.0,468643.0,259.0
2022 04 Jan,471156.0,470890.0,266.0
2022 05 Jan,473319.0,473046.0,273.0
2022 06 Jan,475202.0,474922.0,280.0
2022 07 Jan,476868.0,476581.0,287.0
2022 08 Jan,481096.0,480809.0,287.0
2022 09 Jan,484841.0,484554.0,287.0
2022 10 Jan,486052.0,485758.0,294.0
2022 11 Jan,487613.0,487319.0,294.0
2022 12 Jan,489314.0,489013.0,301.0
2022 13 Jan,491141.0,490833.0,308.0
2022 14 Jan,492807.0,492485.0,322.0
2022 15 Jan,496825.0,496489.0,336.0
2022 16 Jan,499541.0,499198.0,343.0
2022 17 Jan,501130.0,500780.0,350.0
2022 18 Jan,502824.0,502474.0,350.0
2022 19 Jan,504462.0,504098.0,364.0
2022 20 Jan,506205.0,505827.0,378.0
2022 21 Jan,508151.0,507766.0,385.0
2022 22 Jan,511007.0,510615.0,392.0
2022 23 Jan,512743.0,512351.0,392.0
2022 24 Jan,514059.0,513667.0,392.0
2022 25 Jan,515613.0,515214.0,399.0
2022 26 Jan,517202.0,516803.0,399.0
2022 27 Jan,518952.0,518546.0,406.0
2022 28 Jan,520807.0,520380.0,427.0
2022 29 Jan,522984.0,522480.0,504.0
2022 30 Jan,524398.0,523887.0,511.0
2022 31 Jan,525553.0,525021.0,532.0
2022 01 Feb,527128.0,526519.0,609.0
2022 02 Feb,528591.0,527933.0,658.0
2022 03 Feb,530306.0,529431.0,875.0
2022 04 Feb,532021.0,531062.0,959.0
2022 05 Feb,534345.0,532770.0,1575.0
2022 06 Feb,535178.0,533505.0,1673.0
2022 07 Feb,536543.0,534737.0,1806.0
2022 08 Feb,538405.0,536284.0,2121.0
2022 09 Feb,540155.0,537747.0,2408.0
2022 10 Feb,542388.0,539700.0,2688.0
2022 11 Feb,544271.0,541338.0,2933.0
2022 12 Feb,547386.0,543158.0,4228.0
2022 13 Feb,548660.0,543977.0,4683.0
2022 14 Feb,550018.0,545020.0,4998.0
2022 15 Feb,551705.0,546357.0,5348.0
2022 16 Feb,553623.0,547729.0,5894.0
2022 17 Feb,555499.0,549031.0,6468.0
2022 18 Feb,556563.0,549675.0,6888.0
2022 19 Feb,558656.0,550942.0,7714.0
2022 20 Feb,559552.0,551481.0,8071.0
2022 21 Feb,560616.0,552279.0,8337.0
2022 22 Feb,561792.0,553147.0,8645.0
2022 23 Feb,563444.0,554190.0,9254.0
2022 24 Feb,564851.0,555009.0,9842.0
2022 25 Feb,566111.0,555814.0,10297.0
2022 26 Feb,567777.0,556836.0,10941.0
2022 27 Feb,568624.0,557382.0,11242.0
2022 28 Feb,569527.0,558054.0,11473.0
2022 01 Mar,570479.0,558852.0,11627.0
2022 02 Mar,571305.0,559517.0,11788.0
2022 03 Mar,572152.0,560231.0,11921.0
2022 04 Mar,573216.0,561008.0,12208.0
2022 05 Mar,574595.0,561960.0,12635.0
2022 06 Mar,575323.0,562436.0,12887.0
2022 07 Mar,575960.0,562975.0,12985.0
2022 08 Mar,576583.0,563486.0,13097.0
2022 09 Mar,577402.0,564193.0,13209.0
2022 10 Mar,578207.0,564858.0,13349.0
2022 11 Mar,579012.0,565537.0,13475.0
2022 12 Mar,580342.0,566531.0,13811.0
2022 13 Mar,581028.0,567042.0,13986.0
2022 14 Mar,581616.0,567581.0,14035.0
2022 15 Mar,582344.0,568183.0,14161.0
2022 16 Mar,582918.0,568659.0,14259.0
2022 17 Mar,583457.0,569114.0,14343.0
2022 18 Mar,584178.0,569709.0,14469.0
2022 19 Mar,585333.0,570612.0,14721.0
2022 20 Mar,585872.0,571053.0,14819.0
2022 21 Mar,586530.0,571655.0,14875.0
2022 22 Mar,587076.0,572131.0,14945.0
2022 23 Mar,587615.0,572600.0,15015.0
2022 24 Mar,588154.0,573090.0,15064.0
2022 25 Mar,588756.0,573622.0,15134.0
2022 26 Mar,589946.0,574623.0,15323.0
2022 27 Mar,590450.0,575022.0,15428.0
2022 28 Mar,590912.0,575428.0,15484.0
2022 29 Mar,591381.0,575869.0,15512.0
2022 30 Mar,591990.0,576352.0,15638.0
2022 31 Mar,592592.0,576891.0,15701.0
2022 01 Apr,593131.0,577360.0,15771.0
2022 02 Apr,594398.0,578242.0,16156.0
2022 03 Apr,595217.0,578753.0,16464.0
2022 04 Apr,597569.0,579572.0,17997.0
2022 05 Apr,600376.0,580370.0,20006.0
2022 06 Apr,603169.0,581196.0,21973.0
2022 07 Apr,605857.0,582008.0,23849.0
2022 08 Apr,608818.0,582876.0,25942.0
2022 09 Apr,615524.0,584521.0,31003.0
2022 10 Apr,620256.0,585592.0,34664.0
2022 11 Apr,625485.0,586873.0,38612.0
2022 12 Apr,631477.0,588210.0,43267.0
2022 13 Apr,637581.0,589596.0,47985.0
2022 14 Apr,643951.0,591045.0,52906.0
2022 15 Apr,647549.0,591773.0,55776.0
2022 16 Apr,653156.0,593040.0,60116.0
2022 17 Apr,654626.0,593390.0,61236.0
2022 18 Apr,657069.0,593943.0,63126.0
2022 19 Apr,662144.0,594972.0,67172.0
2022 20 Apr,666407.0,595924.0,70483.0
2022 21 Apr,672420.0,597065.0,75355.0
2022 22 Apr,678335.0,598122.0,80213.0
2022 23 Apr,687204.0,599788.0,87416.0
2022 24 Apr,692391.0,600754.0,91637.0
2022 25 Apr,694645.0,601237.0,93408.0
2022 26 Apr,697256.0,601741.0,95515.0
2022 27 Apr,700133.0,602392.0,97741.0
2022 28 Apr,703220.0,602924.0,100296.0
2022 29 Apr,706965.0,603547.0,103418.0
2022 30 Apr,715526.0,605108.0,110418.0
2022 01 May,719439.0,605822.0,113617.0
2022 02 May,721406.0,606130.0,115276.0
2022 03 May,723576.0,606571.0,117005.0
2022 04 May,726390.0,607187.0,119203.0
2022 05 May,728735.0,607663.0,121072.0
2022 06 May,731479.0,608202.0,123277.0
2022 07 May,738640.0,609483.0,129157.0
2022 08 May,742231.0,610134.0,132097.0
2022 09 May,743477.0,610456.0,133021.0
2022 10 May,744912.0,610813.0,134099.0
2022 11 May,746872.0,611233.0,135639.0
2022 12 May,748804.0,611597.0,137207.0
2022 13 May,750995.0,612066.0,138929.0
2022 14 May,757204.0,613088.0,144116.0
2022 15 May,760585.0,613648.0,146937.0
2022 16 May,761796.0,613893.0,147903.0
2022 17 May,763098.0,614173.0,148925.0
2022 18 May,764652.0,614509.0,150143.0
2022 19 May,766136.0,614782.0,151354.0
2022 20 May,767963.0,615174.0,152789.0
2022 21 May,772597.0,615993.0,156604.0
2022 22 May,774613.0,616343.0,158270.0
2022 23 May,775446.0,616553.0,158893.0
2022 24 May,776503.0,616798.0,159705.0
2022 25 May,777826.0,617071.0,160755.0
2022 26 May,778925.0,617302.0,161623.0
2022 27 May,780360.0,617547.0,162813.0
2022 28 May,783804.0,618191.0,165613.0
2022 29 May,785568.0,618485.0,167083.0
2022 30 May,787710.0,618912.0,168798.0
2022 31 May,789950.0,619360.0,170590.0
2022 01 Jun,792190.0,619836.0,172354.0
2022 02 Jun,792568.0,619878.0,172690.0
2022 03 Jun,792834.0,619934.0,172900.0
2022 04 Jun,794325.0,620305.0,174020.0
2022 05 Jun,795102.0,620452.0,174650.0
2022 06 Jun,795872.0,620606.0,175266.0
2022 07 Jun,796481.0,620753.0,175728.0
2022 08 Jun,797307.0,620935.0,176372.0
2022 09 Jun,798154.0,621082.0,177072.0
2022 10 Jun,798924.0,621243.0,177681.0
2022 11 Jun,801913.0,621873.0,180040.0
2022 12 Jun,803306.0,622160.0,181146.0
2022 13 Jun,803817.0,622279.0,181538.0
2022 14 Jun,804503.0,622440.0,182063.0
2022 15 Jun,805224.0,622636.0,182588.0
2022 16 Jun,806050.0,622797.0,183253.0
2022 17 Jun,806820.0,622965.0,183855.0
2022 18 Jun,809340.0,623497.0,185843.0
2022 19 Jun,810376.0,623707.0,186669.0
2022 20 Jun,810810.0,623812.0,186998.0
2022 21 Jun,811370.0,623945.0,187425.0
2022 22 Jun,812063.0,624106.0,187957.0
2022 23 Jun,812812.0,624232.0,188580.0
2022 24 Jun,813631.0,624407.0,189224.0
2022 25 Jun,816760.0,625016.0,191744.0
2022 26 Jun,817992.0,625261.0,192731.0
2022 27 Jun,818517.0,625394.0,193123.0
2022 28 Jun,819105.0,625555.0,193550.0
2022 29 Jun,819805.0,625737.0,194068.0
2022 30 Jun,820547.0,625905.0,194642.0
2022 01 Jul,821303.0,626087.0,195216.0
2022 02 Jul,823676.0,626605.0,197071.0
2022 03 Jul,824789.0,626801.0,197988.0
2022 04 Jul,825223.0,626934.0,198289.0
2022 05 Jul,825825.0,627060.0,198765.0
2022 06 Jul,826476.0,627214.0,199262.0
2022 07 Jul,827176.0,627403.0,199773.0
2022 08 Jul,827876.0,627557.0,200319.0
2022 09 Jul,829815.0,627998.0,201817.0
2022 10 Jul,830795.0,628166.0,202629.0
2022 11 Jul,831264.0,628285.0,202979.0
2022 12 Jul,831803.0,628411.0,203392.0
2022 13 Jul,832440.0,628572.0,203868.0
2022 14 Jul,833028.0,628754.0,204274.0
2022 15 Jul,833595.0,628908.0,204687.0
2022 16 Jul,835443.0,629321.0,206122.0
2022 17 Jul,836234.0,629461.0,206773.0
2022 18 Jul,836528.0,629566.0,206962.0
2022 19 Jul,836836.0,629650.0,207186.0
2022 20 Jul,837305.0,629783.0,207522.0
2022 21 Jul,837914.0,630007.0,207907.0
2022 22 Jul,838782.0,630210.0,208572.0
2022 23 Jul,840336.0,630546.0,209790.0
2022 24 Jul,841015.0,630672.0,210343.0
2022 25 Jul,841771.0,630868.0,210903.0
2022 26 Jul,842506.0,631057.0,211449.0
2022 27 Jul,843248.0,631218.0,212030.0
2022 28 Jul,844046.0,631435.0,212611.0
2022 29 Jul,844767.0,631603.0,213164.0
2022 30 Jul,845999.0,631848.0,214151.0
2022 31 Jul,846559.0,631939.0,214620.0
2022 01 Aug,847210.0,632086.0,215124.0
2022 02 Aug,847833.0,632240.0,215593.0
2022 03 Aug,848435.0,632359.0,216076.0
2022 04 Aug,848953.0,632478.0,216475.0
2022 05 Aug,849478.0,632576.0,216902.0
2022 06 Aug,850416.0,632765.0,217651.0
2022 07 Aug,850934.0,632856.0,218078.0
2022 08 Aug,851438.0,632961.0,218477.0
2022 09 Aug,851851.0,633073.0,218778.0
2022 10 Aug,852327.0,633164.0,219163.0
