covid_vacc_date,total,18-29,30-39,40-49,70-79,50-54,55-59,60-64,65-69,80+,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2020 15 Dec,54978.0,2513.0,4200.0,5229.0,742.0,3325.0,3486.0,2695.0,1106.0,28805.0,2310.0,7.0,546.0,14.0
2020 16 Dec,94689.0,3213.0,5250.0,6545.0,1008.0,4214.0,4494.0,3381.0,1372.0,61292.0,2744.0,14.0,1141.0,21.0
2020 17 Dec,132517.0,3983.0,6454.0,8169.0,1589.0,5278.0,5670.0,4277.0,1729.0,90328.0,3290.0,21.0,1701.0,28.0
2020 18 Dec,159992.0,4697.0,7644.0,9772.0,2149.0,6370.0,6769.0,5117.0,2135.0,109305.0,3843.0,28.0,2121.0,42.0
2020 19 Dec,189952.0,5320.0,8652.0,11088.0,2751.0,7189.0,7679.0,5866.0,2478.0,132076.0,4270.0,35.0,2499.0,49.0
2020 20 Dec,219282.0,6076.0,10003.0,12950.0,3283.0,8351.0,8988.0,6832.0,2856.0,152180.0,4767.0,42.0,2891.0,63.0
2020 21 Dec,242802.0,7077.0,11669.0,15274.0,3920.0,9884.0,10675.0,8029.0,3339.0,164157.0,5474.0,49.0,3178.0,77.0
2020 22 Dec,276283.0,8001.0,13314.0,17283.0,4501.0,11256.0,12096.0,9079.0,3794.0,186984.0,6195.0,56.0,3647.0,77.0
2020 23 Dec,306250.0,9359.0,15323.0,20013.0,5201.0,12957.0,13909.0,10451.0,4361.0,203238.0,7070.0,63.0,4207.0,98.0
2020 24 Dec,316596.0,9975.0,16422.0,21371.0,5523.0,13804.0,14763.0,11123.0,4641.0,206710.0,7476.0,70.0,4620.0,98.0
2020 25 Dec,316659.0,9989.0,16436.0,21378.0,5523.0,13811.0,14777.0,11123.0,4641.0,206710.0,7483.0,70.0,4620.0,98.0
2020 26 Dec,317002.0,10052.0,16506.0,21455.0,5530.0,13846.0,14805.0,11144.0,4655.0,206717.0,7504.0,70.0,4620.0,98.0
2020 27 Dec,319088.0,10241.0,16898.0,21889.0,5565.0,14084.0,15071.0,11347.0,4725.0,206892.0,7581.0,70.0,4627.0,98.0
2020 28 Dec,322805.0,10612.0,17549.0,22610.0,5663.0,14497.0,15442.0,11690.0,4844.0,207326.0,7770.0,70.0,4634.0,98.0
2020 29 Dec,339458.0,11529.0,19145.0,24507.0,6048.0,15617.0,16534.0,12530.0,5222.0,214515.0,8246.0,70.0,5383.0,112.0
2020 30 Dec,381913.0,13601.0,22547.0,28763.0,7840.0,18221.0,19313.0,14602.0,6118.0,232113.0,9597.0,84.0,8925.0,189.0
2020 31 Dec,417788.0,15673.0,25851.0,32935.0,9730.0,20783.0,22001.0,16548.0,6986.0,244573.0,10864.0,98.0,11473.0,273.0
2021 01 Jan,426132.0,16233.0,26852.0,34006.0,10234.0,21504.0,22645.0,17080.0,7203.0,246834.0,11179.0,105.0,11956.0,301.0
2021 02 Jan,435211.0,16989.0,28091.0,35399.0,10920.0,22316.0,23408.0,17598.0,7413.0,248990.0,11494.0,112.0,12159.0,322.0
2021 03 Jan,441882.0,17661.0,29134.0,36624.0,11060.0,22974.0,24010.0,18046.0,7574.0,250383.0,11725.0,119.0,12250.0,322.0
2021 04 Jan,452571.0,18872.0,30926.0,38661.0,11270.0,24178.0,25179.0,18900.0,7896.0,251622.0,12208.0,126.0,12404.0,329.0
2021 05 Jan,473235.0,20916.0,34174.0,42427.0,11690.0,26551.0,27496.0,20559.0,8519.0,254415.0,13139.0,140.0,12852.0,357.0
2021 06 Jan,506933.0,23758.0,38605.0,47516.0,14147.0,29603.0,30681.0,22995.0,9499.0,261401.0,14343.0,147.0,13832.0,406.0
2021 07 Jan,585809.0,27797.0,44807.0,54880.0,23093.0,34181.0,35532.0,26670.0,11053.0,293783.0,16233.0,175.0,17115.0,490.0
2021 08 Jan,676886.0,32361.0,51366.0,62706.0,34706.0,39130.0,40712.0,30520.0,12733.0,331940.0,18417.0,210.0,21469.0,616.0
2021 09 Jan,756791.0,36330.0,57253.0,69657.0,44191.0,43421.0,45332.0,33838.0,14315.0,366380.0,20503.0,238.0,24647.0,686.0
2021 10 Jan,797909.0,39060.0,61271.0,74060.0,48258.0,46116.0,47964.0,35651.0,15106.0,382403.0,21497.0,259.0,25550.0,714.0
2021 11 Jan,840637.0,43197.0,66983.0,80388.0,51471.0,50106.0,51877.0,38367.0,16093.0,389935.0,23226.0,280.0,27930.0,784.0
2021 12 Jan,910945.0,48237.0,73920.0,88445.0,58177.0,55104.0,57008.0,41748.0,17430.0,412566.0,25256.0,301.0,31808.0,945.0
2021 13 Jan,1006999.0,53942.0,81564.0,97097.0,73199.0,60508.0,62580.0,45682.0,19082.0,448462.0,27538.0,329.0,35868.0,1148.0
2021 14 Jan,1109647.0,60116.0,89670.0,106449.0,90321.0,66535.0,68628.0,50099.0,21077.0,484484.0,30093.0,364.0,40446.0,1365.0
2021 15 Jan,1233799.0,67032.0,98742.0,117040.0,110803.0,73388.0,75355.0,55076.0,23436.0,530635.0,33586.0,413.0,46599.0,1694.0
2021 16 Jan,1354136.0,73094.0,106771.0,126280.0,127407.0,79149.0,81235.0,59367.0,25424.0,585473.0,36456.0,455.0,51142.0,1883.0
2021 17 Jan,1417227.0,77434.0,112609.0,132811.0,134813.0,83118.0,85176.0,62216.0,26691.0,608923.0,38157.0,490.0,52829.0,1960.0
2021 18 Jan,1475957.0,82922.0,119336.0,140245.0,142555.0,87794.0,89642.0,65492.0,28126.0,621201.0,40152.0,511.0,55811.0,2170.0
2021 19 Jan,1593291.0,88907.0,126742.0,148771.0,175434.0,92897.0,94871.0,69391.0,30107.0,660870.0,43323.0,560.0,59003.0,2415.0
2021 20 Jan,1729882.0,95781.0,135107.0,158046.0,218813.0,98462.0,100646.0,73724.0,32529.0,703682.0,47656.0,595.0,62146.0,2695.0
2021 21 Jan,1871128.0,102844.0,143584.0,167587.0,268436.0,104412.0,106617.0,78274.0,35483.0,740537.0,53305.0,644.0,66276.0,3129.0
2021 22 Jan,2065308.0,110852.0,152887.0,178080.0,347179.0,111293.0,113421.0,83706.0,39431.0,789698.0,61250.0,686.0,73045.0,3780.0
2021 23 Jan,2260958.0,117425.0,160706.0,186522.0,447083.0,116690.0,118972.0,88228.0,42882.0,832300.0,69608.0,735.0,75635.0,4172.0
2021 24 Jan,2339281.0,121261.0,165508.0,191667.0,482370.0,120015.0,122374.0,91056.0,45073.0,844753.0,73626.0,770.0,76510.0,4298.0
2021 25 Jan,2414573.0,125923.0,171031.0,197883.0,512512.0,123921.0,126329.0,93996.0,46900.0,856051.0,77301.0,798.0,77448.0,4480.0
2021 26 Jan,2510760.0,131292.0,177401.0,205170.0,554358.0,128331.0,130725.0,97426.0,49196.0,869925.0,82761.0,826.0,78603.0,4746.0
2021 27 Jan,2605260.0,136444.0,183295.0,211820.0,597625.0,132587.0,134925.0,100751.0,51898.0,881244.0,89075.0,861.0,79660.0,5075.0
2021 28 Jan,2741949.0,141652.0,189462.0,218778.0,672322.0,136948.0,139272.0,104286.0,55419.0,896364.0,100289.0,889.0,80843.0,5425.0
2021 29 Jan,2926490.0,147119.0,196203.0,226177.0,787717.0,141624.0,144179.0,108528.0,59773.0,912793.0,113267.0,938.0,82397.0,5775.0
2021 30 Jan,3113019.0,151564.0,201586.0,232246.0,913052.0,145474.0,148281.0,111825.0,63308.0,925547.0,129871.0,973.0,83314.0,5978.0
2021 31 Jan,3225138.0,154917.0,205674.0,236887.0,985642.0,148316.0,151144.0,114317.0,66815.0,931014.0,139636.0,1008.0,83699.0,6069.0
2021 01 Feb,3326540.0,158025.0,209496.0,241346.0,1045996.0,150927.0,153853.0,116718.0,72058.0,936635.0,149772.0,1036.0,84406.0,6272.0
2021 02 Feb,3444070.0,161364.0,213549.0,245952.0,1117130.0,154000.0,156933.0,119511.0,77749.0,941976.0,163177.0,1057.0,85134.0,6538.0
2021 03 Feb,3593870.0,165067.0,218078.0,250957.0,1209082.0,157171.0,160398.0,122836.0,85316.0,947352.0,183449.0,1092.0,86114.0,6958.0
2021 04 Feb,3754534.0,168973.0,222943.0,256669.0,1304030.0,160867.0,164178.0,126469.0,94703.0,952511.0,207564.0,1127.0,87059.0,7441.0
2021 05 Feb,3910732.0,172718.0,227619.0,262199.0,1393469.0,164360.0,167986.0,130165.0,104839.0,957383.0,232729.0,1162.0,88158.0,7945.0
2021 06 Feb,4110505.0,176106.0,231721.0,267050.0,1511090.0,167727.0,171633.0,133791.0,119161.0,961065.0,272713.0,1204.0,88802.0,8442.0
2021 07 Feb,4212936.0,178073.0,234227.0,270011.0,1570548.0,169687.0,173852.0,136241.0,127827.0,962717.0,290822.0,1225.0,89103.0,8603.0
2021 08 Feb,4308486.0,180271.0,236810.0,272993.0,1620423.0,171668.0,175910.0,138257.0,138369.0,965307.0,308602.0,1253.0,89670.0,8953.0
2021 09 Feb,4440023.0,182945.0,239967.0,276871.0,1682121.0,174160.0,178738.0,141351.0,163247.0,968408.0,331051.0,1288.0,90433.0,9443.0
2021 10 Feb,4581339.0,185955.0,243530.0,281190.0,1732318.0,176988.0,182217.0,146104.0,203847.0,971950.0,354319.0,1316.0,91441.0,10164.0
2021 11 Feb,4748583.0,189469.0,247779.0,286580.0,1781577.0,180789.0,186942.0,153468.0,261765.0,975303.0,380065.0,1386.0,92477.0,10983.0
2021 12 Feb,4923821.0,193389.0,252756.0,293244.0,1825061.0,185822.0,193172.0,163751.0,328524.0,978481.0,402668.0,1491.0,93562.0,11900.0
2021 13 Feb,5105191.0,198037.0,258223.0,300146.0,1865801.0,190764.0,199325.0,175175.0,405489.0,980581.0,423157.0,1575.0,94143.0,12775.0
2021 14 Feb,5182478.0,200417.0,261359.0,304192.0,1878289.0,193830.0,203553.0,180586.0,439887.0,981393.0,430066.0,1610.0,94276.0,13020.0
2021 15 Feb,5263979.0,203371.0,264978.0,308945.0,1889083.0,197155.0,207690.0,186578.0,477596.0,982506.0,436205.0,1645.0,94759.0,13468.0
2021 16 Feb,5393430.0,207634.0,270662.0,317492.0,1899121.0,204757.0,218225.0,204764.0,529620.0,983612.0,445942.0,1820.0,95214.0,14567.0
2021 17 Feb,5572091.0,213892.0,279482.0,330736.0,1908179.0,218162.0,238301.0,236292.0,588994.0,984746.0,458906.0,2163.0,95690.0,16548.0
2021 18 Feb,5731929.0,220290.0,288386.0,344715.0,1915102.0,231161.0,257712.0,264551.0,635544.0,985796.0,471422.0,2499.0,96159.0,18592.0
2021 19 Feb,5861149.0,226177.0,296618.0,357105.0,1920394.0,241745.0,272797.0,286118.0,671496.0,986657.0,482321.0,2835.0,96621.0,20265.0
2021 20 Feb,5986449.0,232246.0,304871.0,369670.0,1924944.0,252847.0,288134.0,308574.0,703199.0,987252.0,493101.0,3073.0,96775.0,21763.0
2021 21 Feb,6034651.0,234787.0,308623.0,375200.0,1926365.0,257173.0,293545.0,316400.0,715337.0,987448.0,497574.0,3150.0,96817.0,22232.0
2021 22 Feb,6095089.0,237923.0,313019.0,381388.0,1928626.0,262500.0,300041.0,325073.0,731892.0,987868.0,503566.0,3206.0,96950.0,23037.0
2021 23 Feb,6212598.0,244153.0,321671.0,395157.0,1931776.0,274862.0,316603.0,346367.0,752024.0,988666.0,515837.0,3605.0,97202.0,24675.0
2021 24 Feb,6375257.0,252420.0,333655.0,413378.0,1935934.0,291102.0,338408.0,379855.0,779555.0,989506.0,532427.0,4165.0,97531.0,27321.0
2021 25 Feb,6552742.0,261961.0,347060.0,433181.0,1940358.0,308693.0,361515.0,418250.0,806015.0,990437.0,552167.0,4753.0,97853.0,30499.0
2021 26 Feb,6739964.0,271670.0,361543.0,454132.0,1944488.0,326739.0,386295.0,460908.0,833518.0,991319.0,572033.0,5586.0,98154.0,33579.0
2021 27 Feb,6886859.0,280588.0,373863.0,471296.0,1947295.0,340669.0,405706.0,494452.0,853398.0,991788.0,587314.0,6195.0,98280.0,36015.0
2021 28 Feb,6953604.0,284207.0,379344.0,478807.0,1948527.0,346395.0,412489.0,512792.0,864535.0,991942.0,593194.0,6314.0,98336.0,36722.0
2021 01 Mar,7010213.0,287301.0,384118.0,485149.0,1949626.0,350644.0,417536.0,530901.0,872634.0,992208.0,597772.0,6342.0,98490.0,37492.0
2021 02 Mar,7076006.0,290423.0,389151.0,491897.0,1950865.0,355831.0,423955.0,554309.0,881048.0,992621.0,602490.0,6412.0,98686.0,38318.0
2021 03 Mar,7176295.0,296093.0,397810.0,504665.0,1952454.0,365183.0,435428.0,586068.0,890456.0,993188.0,609728.0,6517.0,98875.0,39830.0
2021 04 Mar,7310821.0,303240.0,409122.0,519715.0,1954589.0,378224.0,451073.0,630658.0,903238.0,993825.0,619080.0,6692.0,99113.0,42252.0
2021 05 Mar,7456414.0,311976.0,421547.0,537103.0,1957095.0,392483.0,470792.0,675675.0,915810.0,994476.0,628068.0,6916.0,99386.0,45087.0
2021 06 Mar,7610477.0,320894.0,435281.0,557179.0,1959125.0,408548.0,492527.0,723093.0,927290.0,994931.0,637469.0,7119.0,99477.0,47544.0
2021 07 Mar,7662753.0,323603.0,439250.0,562450.0,1959580.0,412636.0,499401.0,745276.0,930762.0,995029.0,640185.0,7161.0,99498.0,47922.0
2021 08 Mar,7725865.0,326515.0,443814.0,567728.0,1960427.0,416780.0,508403.0,772723.0,935648.0,995246.0,643174.0,7189.0,99624.0,48594.0
2021 09 Mar,7794997.0,329952.0,448728.0,574518.0,1961379.0,422219.0,521941.0,797678.0,939967.0,995673.0,646513.0,7266.0,99757.0,49406.0
2021 10 Mar,7874377.0,334390.0,455189.0,583282.0,1962331.0,428988.0,539462.0,823249.0,944167.0,996079.0,649747.0,7385.0,99890.0,50218.0
2021 11 Mar,7953400.0,338506.0,460621.0,590233.0,1963234.0,436142.0,560735.0,848659.0,947828.0,996422.0,652344.0,7623.0,100023.0,51030.0
2021 12 Mar,8085070.0,346325.0,471324.0,604296.0,1964536.0,452557.0,595847.0,883022.0,953407.0,996828.0,656481.0,7889.0,100198.0,52360.0
2021 13 Mar,8286971.0,357280.0,485793.0,624848.0,1965936.0,488096.0,655312.0,927920.0,960169.0,997150.0,661654.0,8344.0,100254.0,54215.0
2021 14 Mar,8382353.0,362166.0,492436.0,634088.0,1966496.0,501641.0,685811.0,951461.0,963648.0,997269.0,663845.0,8435.0,100275.0,54782.0
2021 15 Mar,8518398.0,368417.0,501354.0,646296.0,1967329.0,519036.0,739494.0,979566.0,968037.0,997500.0,666904.0,8463.0,100345.0,55657.0
2021 16 Mar,8677144.0,375949.0,511840.0,661654.0,1968155.0,548856.0,801220.0,1004745.0,971691.0,997766.0,669613.0,8561.0,100478.0,56616.0
2021 17 Mar,8844213.0,383922.0,523019.0,678769.0,1968932.0,592487.0,859733.0,1025486.0,974603.0,998039.0,672378.0,8785.0,100590.0,57470.0
2021 18 Mar,9043475.0,392504.0,534877.0,698089.0,1969786.0,662522.0,920325.0,1046150.0,977725.0,998375.0,674989.0,9072.0,100744.0,58317.0
2021 19 Mar,9260930.0,401709.0,548275.0,721728.0,1970591.0,737597.0,986524.0,1068242.0,980553.0,998669.0,677754.0,9254.0,100870.0,59164.0
2021 20 Mar,9561013.0,414666.0,565313.0,755888.0,1971431.0,859943.0,1066380.0,1092413.0,984249.0,998914.0,681226.0,9492.0,100933.0,60165.0
2021 21 Mar,9687874.0,421253.0,573727.0,772583.0,1971753.0,905275.0,1102794.0,1102654.0,985355.0,999005.0,682514.0,9541.0,100954.0,60466.0
2021 22 Mar,9800259.0,427462.0,582022.0,786989.0,1972201.0,945308.0,1133685.0,1111292.0,986657.0,999159.0,684047.0,9597.0,101010.0,60830.0
2021 23 Mar,9914408.0,434490.0,591367.0,804020.0,1972740.0,986223.0,1161559.0,1118747.0,987973.0,999369.0,685748.0,9807.0,101108.0,61257.0
2021 24 Mar,10027003.0,442421.0,601251.0,824446.0,1973356.0,1023911.0,1185513.0,1126111.0,989359.0,999614.0,687764.0,10318.0,101220.0,61719.0
2021 25 Mar,10145905.0,451269.0,612801.0,850206.0,1974014.0,1062390.0,1207570.0,1132789.0,990745.0,999901.0,689738.0,10885.0,101353.0,62244.0
2021 26 Mar,10280550.0,461132.0,626206.0,883918.0,1974707.0,1103529.0,1231286.0,1139887.0,992096.0,1000174.0,691992.0,11326.0,101507.0,62790.0
2021 27 Mar,10461339.0,474873.0,644350.0,938042.0,1975512.0,1156582.0,1258187.0,1148091.0,993804.0,1000447.0,694477.0,11809.0,101584.0,63581.0
2021 28 Mar,10556336.0,482363.0,654787.0,967449.0,1975841.0,1182258.0,1273244.0,1152123.0,994581.0,1000552.0,695681.0,11935.0,101612.0,63910.0
2021 29 Mar,10630676.0,489188.0,663411.0,989079.0,1976268.0,1201466.0,1284605.0,1155637.0,995442.0,1000720.0,696913.0,11970.0,101703.0,64274.0
2021 30 Mar,10703882.0,496594.0,672812.0,1012298.0,1976793.0,1218329.0,1294153.0,1158801.0,996373.0,1001077.0,698103.0,12145.0,101801.0,64603.0
2021 31 Mar,10778747.0,504861.0,683095.0,1035419.0,1977388.0,1235395.0,1303330.0,1161643.0,997262.0,1001329.0,699573.0,12530.0,101913.0,65009.0
2021 01 Apr,10829343.0,510622.0,690298.0,1053920.0,1977857.0,1243445.0,1309336.0,1163449.0,997850.0,1001609.0,700637.0,12992.0,102011.0,65317.0
2021 02 Apr,10860437.0,514360.0,696115.0,1063167.0,1978165.0,1248254.0,1314047.0,1164562.0,998137.0,1001770.0,701099.0,13237.0,102046.0,65478.0
2021 03 Apr,10891629.0,518413.0,701477.0,1071826.0,1978389.0,1253497.0,1319192.0,1165829.0,998438.0,1001910.0,701561.0,13419.0,102088.0,65590.0
2021 04 Apr,10906602.0,520534.0,704214.0,1076012.0,1978480.0,1255695.0,1321789.0,1166431.0,998564.0,1001952.0,701771.0,13426.0,102095.0,65639.0
2021 05 Apr,10913854.0,521500.0,705327.0,1078287.0,1978557.0,1256661.0,1322930.0,1166760.0,998655.0,1001973.0,701932.0,13489.0,102102.0,65681.0
2021 06 Apr,10933307.0,523495.0,707994.0,1086862.0,1978872.0,1259041.0,1324729.0,1167467.0,998928.0,1002106.0,702366.0,13510.0,102172.0,65765.0
2021 07 Apr,10957968.0,525966.0,712089.0,1096662.0,1979271.0,1262170.0,1326752.0,1168482.0,999313.0,1002386.0,703045.0,13671.0,102249.0,65912.0
2021 08 Apr,10979192.0,527695.0,715771.0,1104698.0,1979761.0,1265082.0,1328551.0,1169511.0,999705.0,1002603.0,703591.0,13839.0,102347.0,66038.0
2021 09 Apr,11005505.0,529249.0,720265.0,1114953.0,1980258.0,1269086.0,1330973.0,1170659.0,1000160.0,1002799.0,704284.0,14140.0,102473.0,66206.0
2021 10 Apr,11036487.0,530943.0,725221.0,1129310.0,1980727.0,1273545.0,1333374.0,1171632.0,1000559.0,1002981.0,704935.0,14406.0,102508.0,66346.0
2021 11 Apr,11051425.0,531818.0,727706.0,1136842.0,1980909.0,1275463.0,1334221.0,1172031.0,1000720.0,1003051.0,705201.0,14532.0,102522.0,66409.0
2021 12 Apr,11060735.0,532539.0,729533.0,1140139.0,1981210.0,1276730.0,1334970.0,1172423.0,1000972.0,1003142.0,705481.0,14574.0,102571.0,66451.0
2021 13 Apr,11077318.0,533204.0,731927.0,1149400.0,1981532.0,1278536.0,1335796.0,1172906.0,1001210.0,1003268.0,705789.0,14609.0,102627.0,66514.0
2021 14 Apr,11107481.0,534744.0,734685.0,1169819.0,1981910.0,1281420.0,1336643.0,1173319.0,1001441.0,1003387.0,706139.0,14693.0,102704.0,66577.0
2021 15 Apr,11146674.0,535871.0,736939.0,1199408.0,1982295.0,1284983.0,1337462.0,1173725.0,1001686.0,1003541.0,706517.0,14805.0,102774.0,66668.0
2021 16 Apr,11188149.0,537509.0,739480.0,1230110.0,1982778.0,1288665.0,1338302.0,1174166.0,1001931.0,1003737.0,706895.0,14980.0,102844.0,66752.0
2021 17 Apr,11235462.0,539098.0,742301.0,1266069.0,1983142.0,1292739.0,1339212.0,1174628.0,1002190.0,1003898.0,707259.0,15218.0,102865.0,66843.0
2021 18 Apr,11266262.0,540176.0,746263.0,1288175.0,1983331.0,1295007.0,1339653.0,1174831.0,1002302.0,1003975.0,707462.0,15330.0,102872.0,66885.0
2021 19 Apr,11296096.0,540869.0,747593.0,1311898.0,1983590.0,1297562.0,1340115.0,1175097.0,1002449.0,1004066.0,707672.0,15358.0,102900.0,66927.0
2021 20 Apr,11325223.0,541653.0,749651.0,1333906.0,1983884.0,1300117.0,1340577.0,1175370.0,1002638.0,1004164.0,707959.0,15386.0,102942.0,66976.0
2021 21 Apr,11359831.0,542675.0,752423.0,1359932.0,1984206.0,1302770.0,1341158.0,1175699.0,1002855.0,1004304.0,708281.0,15491.0,102991.0,67046.0
2021 22 Apr,11398513.0,544474.0,755510.0,1388807.0,1984619.0,1305486.0,1341795.0,1176035.0,1003065.0,1004416.0,708596.0,15575.0,103026.0,67109.0
2021 23 Apr,11439218.0,545909.0,761957.0,1416520.0,1985039.0,1308279.0,1342446.0,1176392.0,1003303.0,1004507.0,708939.0,15687.0,103054.0,67186.0
2021 24 Apr,11491361.0,547603.0,768453.0,1454649.0,1985417.0,1311625.0,1343174.0,1176770.0,1003534.0,1004584.0,709331.0,15890.0,103068.0,67263.0
2021 25 Apr,11516603.0,548597.0,771162.0,1473178.0,1985725.0,1313235.0,1343531.0,1176994.0,1003646.0,1004633.0,709527.0,15988.0,103082.0,67305.0
2021 26 Apr,11539423.0,549374.0,773423.0,1490055.0,1985942.0,1314726.0,1343965.0,1177225.0,1003800.0,1004689.0,709765.0,16023.0,103096.0,67340.0
2021 27 Apr,11573912.0,550424.0,776391.0,1517068.0,1986222.0,1316357.0,1344518.0,1177533.0,1003989.0,1004766.0,710066.0,16072.0,103117.0,67389.0
2021 28 Apr,11611551.0,551768.0,780080.0,1546097.0,1986544.0,1317932.0,1345022.0,1177827.0,1004220.0,1004850.0,710409.0,16177.0,103159.0,67466.0
2021 29 Apr,11654601.0,553175.0,786212.0,1577884.0,1986873.0,1319451.0,1345568.0,1178142.0,1004486.0,1004941.0,710801.0,16303.0,103215.0,67550.0
2021 30 Apr,11697007.0,554631.0,791287.0,1610056.0,1987153.0,1321166.0,1346128.0,1178450.0,1004710.0,1005018.0,711158.0,16394.0,103243.0,67613.0
2021 01 May,11741863.0,555576.0,794745.0,1647394.0,1987377.0,1322636.0,1346597.0,1178702.0,1004906.0,1005074.0,711431.0,16485.0,103257.0,67683.0
2021 02 May,11769226.0,556157.0,796733.0,1670438.0,1987461.0,1323546.0,1346842.0,1178835.0,1005011.0,1005088.0,711585.0,16569.0,103257.0,67704.0
2021 03 May,11791409.0,556430.0,797461.0,1690437.0,1987552.0,1324169.0,1347003.0,1178919.0,1005095.0,1005109.0,711676.0,16583.0,103257.0,67718.0
2021 04 May,11827501.0,556962.0,799309.0,1722133.0,1987720.0,1325079.0,1347297.0,1179115.0,1005263.0,1005165.0,711851.0,16597.0,103271.0,67739.0
2021 05 May,11868192.0,558012.0,803432.0,1755040.0,1987944.0,1326052.0,1347738.0,1179381.0,1005480.0,1005228.0,712110.0,16674.0,103306.0,67795.0
2021 06 May,11906762.0,559930.0,807247.0,1784741.0,1988168.0,1327060.0,1348270.0,1179710.0,1005809.0,1005312.0,712474.0,16828.0,103327.0,67886.0
2021 07 May,11951422.0,562128.0,812049.0,1819265.0,1988364.0,1328278.0,1348767.0,1180046.0,1006061.0,1005368.0,712789.0,17010.0,103355.0,67942.0
2021 08 May,12004923.0,563654.0,816228.0,1863778.0,1988546.0,1329769.0,1349334.0,1180375.0,1006264.0,1005424.0,713076.0,17101.0,103362.0,68012.0
2021 09 May,12033231.0,564333.0,818517.0,1887501.0,1988616.0,1330532.0,1349635.0,1180522.0,1006376.0,1005445.0,713216.0,17143.0,103369.0,68026.0
2021 10 May,12061567.0,565460.0,820792.0,1910391.0,1988728.0,1331351.0,1350006.0,1180718.0,1006551.0,1005487.0,713419.0,17213.0,103390.0,68061.0
2021 11 May,12097351.0,568708.0,827869.0,1933022.0,1988896.0,1332366.0,1350503.0,1181005.0,1006775.0,1005529.0,713769.0,17367.0,103411.0,68131.0
2021 12 May,12158167.0,575253.0,853867.0,1957438.0,1989106.0,1333591.0,1351182.0,1181397.0,1007062.0,1005613.0,714280.0,17689.0,103439.0,68250.0
2021 13 May,12227355.0,583611.0,882861.0,1985067.0,1989323.0,1334956.0,1351882.0,1181852.0,1007321.0,1005676.0,714819.0,18151.0,103467.0,68369.0
2021 14 May,12299252.0,590611.0,913731.0,2015104.0,1989519.0,1336363.0,1352547.0,1182300.0,1007566.0,1005732.0,715330.0,18480.0,103495.0,68474.0
2021 15 May,12381537.0,597723.0,950005.0,2049656.0,1989708.0,1337938.0,1353296.0,1182762.0,1007804.0,1005781.0,715883.0,18872.0,103509.0,68600.0
2021 16 May,12423054.0,602007.0,968114.0,2066589.0,1989799.0,1338771.0,1353681.0,1182993.0,1007930.0,1005802.0,716156.0,19068.0,103509.0,68635.0
2021 17 May,12452391.0,604534.0,980301.0,2079189.0,1989904.0,1339464.0,1354024.0,1183259.0,1008070.0,1005844.0,716415.0,19187.0,103523.0,68677.0
2021 18 May,12509273.0,612024.0,1011857.0,2094113.0,1990065.0,1340402.0,1354549.0,1183588.0,1008273.0,1005886.0,716842.0,19376.0,103551.0,68747.0
2021 19 May,12603675.0,624344.0,1069887.0,2113958.0,1990275.0,1341795.0,1355291.0,1184085.0,1008567.0,1005949.0,717395.0,19698.0,103572.0,68859.0
2021 20 May,12692246.0,635887.0,1125537.0,2131297.0,1990499.0,1343069.0,1356005.0,1184596.0,1008840.0,1006033.0,717948.0,19985.0,103600.0,68950.0
