covid_vacc_date,Others,total
2022 12 Jan,515620.0,515620.0
2022 13 Jan,517538.0,517538.0
2022 14 Jan,519281.0,519281.0
2022 15 Jan,523453.0,523453.0
2022 16 Jan,526288.0,526288.0
2022 17 Jan,527933.0,527933.0
2022 18 Jan,529697.0,529697.0
2022 19 Jan,531384.0,531384.0
2022 20 Jan,533204.0,533204.0
2022 21 Jan,535227.0,535227.0
2022 22 Jan,538202.0,538202.0
2022 23 Jan,540036.0,540036.0
2022 24 Jan,541394.0,541394.0
2022 25 Jan,543004.0,543004.0
2022 26 Jan,544670.0,544670.0
2022 27 Jan,546469.0,546469.0
2022 28 Jan,548380.0,548380.0
2022 29 Jan,550634.0,550634.0
2022 30 Jan,552097.0,552097.0
2022 31 Jan,553308.0,553308.0
2022 01 Feb,554939.0,554939.0
2022 02 Feb,556444.0,556444.0
2022 03 Feb,558194.0,558194.0
2022 04 Feb,559965.0,559965.0
2022 05 Feb,562352.0,562352.0
2022 06 Feb,563206.0,563206.0
2022 07 Feb,564620.0,564620.0
2022 08 Feb,566517.0,566517.0
2022 09 Feb,568309.0,568309.0
2022 10 Feb,570598.0,570598.0
2022 11 Feb,572544.0,572544.0
2022 12 Feb,575701.0,575701.0
2022 13 Feb,576996.0,576996.0
2022 14 Feb,578382.0,578382.0
2022 15 Feb,580118.0,580118.0
2022 16 Feb,582085.0,582085.0
2022 17 Feb,584003.0,584003.0
2022 18 Feb,585095.0,585095.0
2022 19 Feb,587209.0,587209.0
2022 20 Feb,588112.0,588112.0
2022 21 Feb,589197.0,589197.0
2022 22 Feb,590422.0,590422.0
2022 23 Feb,592109.0,592109.0
2022 24 Feb,593551.0,593551.0
2022 25 Feb,594832.0,594832.0
2022 26 Feb,596533.0,596533.0
2022 27 Feb,597394.0,597394.0
2022 28 Feb,598325.0,598325.0
2022 01 Mar,599298.0,599298.0
2022 02 Mar,600152.0,600152.0
2022 03 Mar,601013.0,601013.0
2022 04 Mar,602098.0,602098.0
2022 05 Mar,603505.0,603505.0
2022 06 Mar,604254.0,604254.0
2022 07 Mar,604898.0,604898.0
2022 08 Mar,605528.0,605528.0
2022 09 Mar,606368.0,606368.0
2022 10 Mar,607187.0,607187.0
2022 11 Mar,608013.0,608013.0
2022 12 Mar,609371.0,609371.0
2022 13 Mar,610071.0,610071.0
2022 14 Mar,610659.0,610659.0
2022 15 Mar,611408.0,611408.0
2022 16 Mar,611989.0,611989.0
2022 17 Mar,612535.0,612535.0
2022 18 Mar,613277.0,613277.0
2022 19 Mar,614446.0,614446.0
2022 20 Mar,615006.0,615006.0
2022 21 Mar,615692.0,615692.0
2022 22 Mar,616245.0,616245.0
2022 23 Mar,616805.0,616805.0
2022 24 Mar,617358.0,617358.0
2022 25 Mar,617974.0,617974.0
2022 26 Mar,619178.0,619178.0
2022 27 Mar,619696.0,619696.0
2022 28 Mar,620165.0,620165.0
2022 29 Mar,620648.0,620648.0
2022 30 Mar,621278.0,621278.0
2022 31 Mar,621887.0,621887.0
2022 01 Apr,622433.0,622433.0
2022 02 Apr,623728.0,623728.0
2022 03 Apr,624568.0,624568.0
2022 04 Apr,626934.0,626934.0
2022 05 Apr,629741.0,629741.0
2022 06 Apr,632541.0,632541.0
2022 07 Apr,635229.0,635229.0
2022 08 Apr,638211.0,638211.0
2022 09 Apr,644924.0,644924.0
2022 10 Apr,649642.0,649642.0
2022 11 Apr,654878.0,654878.0
2022 12 Apr,660870.0,660870.0
2022 13 Apr,666995.0,666995.0
2022 14 Apr,673365.0,673365.0
2022 15 Apr,676956.0,676956.0
2022 16 Apr,682556.0,682556.0
2022 17 Apr,684033.0,684033.0
2022 18 Apr,686483.0,686483.0
2022 19 Apr,691579.0,691579.0
2022 20 Apr,695842.0,695842.0
2022 21 Apr,701848.0,701848.0
2022 22 Apr,707784.0,707784.0
2022 23 Apr,716632.0,716632.0
2022 24 Apr,721833.0,721833.0
2022 25 Apr,724080.0,724080.0
2022 26 Apr,726705.0,726705.0
2022 27 Apr,729582.0,729582.0
2022 28 Apr,732676.0,732676.0
2022 29 Apr,736400.0,736400.0
2022 30 Apr,744968.0,744968.0
2022 01 May,748895.0,748895.0
2022 02 May,750855.0,750855.0
2022 03 May,753039.0,753039.0
2022 04 May,755853.0,755853.0
2022 05 May,758198.0,758198.0
2022 06 May,760935.0,760935.0
2022 07 May,768110.0,768110.0
2022 08 May,771708.0,771708.0
2022 09 May,772961.0,772961.0
2022 10 May,774403.0,774403.0
2022 11 May,776370.0,776370.0
2022 12 May,778295.0,778295.0
2022 13 May,780486.0,780486.0
2022 14 May,786688.0,786688.0
2022 15 May,790083.0,790083.0
2022 16 May,791294.0,791294.0
2022 17 May,792596.0,792596.0
2022 18 May,794157.0,794157.0
2022 19 May,795648.0,795648.0
2022 20 May,797482.0,797482.0
2022 21 May,802109.0,802109.0
2022 22 May,804118.0,804118.0
2022 23 May,804951.0,804951.0
2022 24 May,806015.0,806015.0
2022 25 May,807338.0,807338.0
2022 26 May,808423.0,808423.0
2022 27 May,809858.0,809858.0
2022 28 May,813316.0,813316.0
2022 29 May,815087.0,815087.0
2022 30 May,817229.0,817229.0
2022 31 May,819483.0,819483.0
2022 01 Jun,821730.0,821730.0
2022 02 Jun,822108.0,822108.0
2022 03 Jun,822367.0,822367.0
2022 04 Jun,823872.0,823872.0
2022 05 Jun,824649.0,824649.0
2022 06 Jun,825419.0,825419.0
2022 07 Jun,826028.0,826028.0
2022 08 Jun,826847.0,826847.0
2022 09 Jun,827694.0,827694.0
2022 10 Jun,828485.0,828485.0
2022 11 Jun,831390.0,831390.0
2022 12 Jun,832783.0,832783.0
2022 13 Jun,833294.0,833294.0
2022 14 Jun,833994.0,833994.0
2022 15 Jun,834715.0,834715.0
2022 16 Jun,835548.0,835548.0
2022 17 Jun,836325.0,836325.0
2022 18 Jun,838845.0,838845.0
2022 19 Jun,839874.0,839874.0
2022 20 Jun,840315.0,840315.0
2022 21 Jun,840868.0,840868.0
2022 22 Jun,841554.0,841554.0
