covid_vacc_date,In a risk group,Not in a risk group,In a risk group_total,Not in a risk group_total
2022-02-14,3976.0,1022.0,118839,1903328
2022-02-15,4263.0,1085.0,118839,1903328
2022-02-16,4690.0,1204.0,118839,1903328
2022-02-17,5166.0,1302.0,118839,1903328
2022-02-18,5488.0,1407.0,118839,1903328
2022-02-19,6146.0,1568.0,118839,1903328
2022-02-20,6433.0,1638.0,118839,1903328
2022-02-21,6629.0,1708.0,118839,1903328
2022-02-22,6867.0,1778.0,118839,1903328
2022-02-23,7336.0,1918.0,118839,1903328
2022-02-24,7805.0,2037.0,118839,1903328
2022-02-25,8155.0,2142.0,118839,1903328
2022-02-26,8652.0,2282.0,118839,1903328
2022-02-27,8883.0,2352.0,118839,1903328
2022-02-28,9051.0,2422.0,118839,1903328
2022-03-01,9163.0,2464.0,118839,1903328
2022-03-02,9282.0,2499.0,118839,1903328
2022-03-03,9387.0,2534.0,118839,1903328
2022-03-04,9604.0,2604.0,118839,1903328
2022-03-05,9926.0,2709.0,118839,1903328
2022-03-06,10115.0,2772.0,118839,1903328
2022-03-07,10185.0,2800.0,118839,1903328
2022-03-08,10255.0,2842.0,118839,1903328
2022-03-09,10339.0,2870.0,118839,1903328
2022-03-10,10437.0,2905.0,118839,1903328
2022-03-11,10542.0,2933.0,118839,1903328
2022-03-12,10787.0,3017.0,118839,1903328
2022-03-13,10913.0,3073.0,118839,1903328
2022-03-14,10941.0,3094.0,118839,1903328
2022-03-15,11039.0,3122.0,118839,1903328
2022-03-16,11088.0,3164.0,118839,1903328
2022-03-17,11144.0,3192.0,118839,1903328
2022-03-18,11235.0,3234.0,118839,1903328
2022-03-19,11424.0,3297.0,118839,1903328
2022-03-20,11501.0,3318.0,118839,1903328
2022-03-21,11536.0,3339.0,118839,1903328
2022-03-22,11585.0,3360.0,118839,1903328
2022-03-23,11627.0,3388.0,118839,1903328
2022-03-24,11662.0,3402.0,118839,1903328
2022-03-25,11704.0,3430.0,118839,1903328
2022-03-26,11767.0,3549.0,118839,1903328
2022-03-27,11837.0,3591.0,118839,1903328
2022-03-28,11865.0,3619.0,118839,1903328
2022-03-29,11879.0,3633.0,118839,1903328
2022-03-30,11942.0,3696.0,118839,1903328
2022-03-31,11970.0,3731.0,118839,1903328
2022-04-01,12005.0,3773.0,118839,1903328
2022-04-02,12054.0,4102.0,118839,1903328
2022-04-03,12089.0,4375.0,118839,1903328
2022-04-04,12187.0,5810.0,118839,1903328
2022-04-05,12292.0,7714.0,118839,1903328
2022-04-06,12390.0,9583.0,118839,1903328
2022-04-07,12495.0,11354.0,118839,1903328
2022-04-08,12628.0,13314.0,118839,1903328
2022-04-09,12915.0,18088.0,118839,1903328
2022-04-10,13097.0,21567.0,118839,1903328
2022-04-11,13272.0,25340.0,118839,1903328
2022-04-12,13482.0,29785.0,118839,1903328
2022-04-13,13664.0,34314.0,118839,1903328
2022-04-14,13860.0,39046.0,118839,1903328
2022-04-15,13965.0,41811.0,118839,1903328
2022-04-16,14154.0,45962.0,118839,1903328
2022-04-17,14189.0,47040.0,118839,1903328
2022-04-18,14259.0,48867.0,118839,1903328
2022-04-19,14420.0,52752.0,118839,1903328
2022-04-20,14546.0,55937.0,118839,1903328
2022-04-21,14721.0,60634.0,118839,1903328
2022-04-22,14903.0,65310.0,118839,1903328
2022-04-23,15155.0,72261.0,118839,1903328
2022-04-24,15295.0,76342.0,118839,1903328
2022-04-25,15379.0,78029.0,118839,1903328
2022-04-26,15463.0,80052.0,118839,1903328
2022-04-27,15568.0,82173.0,118839,1903328
2022-04-28,15694.0,84602.0,118839,1903328
2022-04-29,15834.0,87584.0,118839,1903328
2022-04-30,16107.0,94311.0,118839,1903328
2022-05-01,16226.0,97391.0,118839,1903328
2022-05-02,16275.0,99001.0,118839,1903328
2022-05-03,16352.0,100653.0,118839,1903328
2022-05-04,16457.0,102746.0,118839,1903328
2022-05-05,16548.0,104524.0,118839,1903328
2022-05-06,16653.0,106617.0,118839,1903328
2022-05-07,16884.0,112273.0,118839,1903328
2022-05-08,16996.0,115094.0,118839,1903328
2022-05-09,17059.0,115969.0,118839,1903328
2022-05-10,17108.0,116991.0,118839,1903328
2022-05-11,17164.0,118468.0,118839,1903328
2022-05-12,17234.0,119973.0,118839,1903328
2022-05-13,17304.0,121625.0,118839,1903328
2022-05-14,17528.0,126588.0,118839,1903328
2022-05-15,17654.0,129283.0,118839,1903328
2022-05-16,17703.0,130200.0,118839,1903328
2022-05-17,17738.0,131187.0,118839,1903328
2022-05-18,17808.0,132335.0,118839,1903328
2022-05-19,17871.0,133483.0,118839,1903328
2022-05-20,17913.0,134876.0,118839,1903328
2022-05-21,18067.0,138537.0,118839,1903328
2022-05-22,18137.0,140133.0,118839,1903328
2022-05-23,18158.0,140735.0,118839,1903328
2022-05-24,18221.0,141477.0,118839,1903328
2022-05-25,18277.0,142471.0,118839,1903328
2022-05-26,18312.0,143311.0,118839,1903328
2022-05-27,18368.0,144445.0,118839,1903328
2022-05-28,18473.0,147140.0,118839,1903328
2022-05-29,18536.0,148547.0,118839,1903328
2022-05-30,18585.0,150206.0,118839,1903328
2022-05-31,18669.0,151921.0,118839,1903328
2022-06-01,18746.0,153608.0,118839,1903328
2022-06-02,18760.0,153930.0,118839,1903328
2022-06-03,18767.0,154126.0,118839,1903328
2022-06-04,18809.0,155211.0,118839,1903328
2022-06-05,18844.0,155806.0,118839,1903328
2022-06-06,18865.0,156394.0,118839,1903328
2022-06-07,18886.0,156842.0,118839,1903328
2022-06-08,18914.0,157451.0,118839,1903328
2022-06-09,18949.0,158116.0,118839,1903328
2022-06-10,18970.0,158711.0,118839,1903328
2022-06-11,19068.0,160965.0,118839,1903328
2022-06-12,19110.0,162029.0,118839,1903328
2022-06-13,19124.0,162414.0,118839,1903328
2022-06-14,19145.0,162918.0,118839,1903328
2022-06-15,19152.0,163436.0,118839,1903328
2022-06-16,19180.0,164073.0,118839,1903328
2022-06-17,19201.0,164654.0,118839,1903328
2022-06-18,19299.0,166544.0,118839,1903328
2022-06-19,19341.0,167328.0,118839,1903328
2022-06-20,19348.0,167650.0,118839,1903328
2022-06-21,19376.0,168049.0,118839,1903328
2022-06-22,19411.0,168553.0,118839,1903328
2022-06-23,19432.0,169148.0,118839,1903328
2022-06-24,19474.0,169743.0,118839,1903328
2022-06-25,19656.0,172081.0,118839,1903328
2022-06-26,19733.0,172998.0,118839,1903328
2022-06-27,19775.0,173348.0,118839,1903328
2022-06-28,19824.0,173733.0,118839,1903328
2022-06-29,19873.0,174195.0,118839,1903328
2022-06-30,19922.0,174720.0,118839,1903328
2022-07-01,19978.0,175238.0,118839,1903328
2022-07-02,20111.0,176960.0,118839,1903328
2022-07-03,20188.0,177800.0,118839,1903328
2022-07-04,20209.0,178080.0,118839,1903328
2022-07-05,20237.0,178528.0,118839,1903328
2022-07-06,20258.0,178997.0,118839,1903328
2022-07-07,20279.0,179494.0,118839,1903328
2022-07-08,20314.0,180005.0,118839,1903328
2022-07-09,20405.0,181412.0,118839,1903328
2022-07-10,20447.0,182182.0,118839,1903328
2022-07-11,20468.0,182511.0,118839,1903328
2022-07-12,20496.0,182896.0,118839,1903328
2022-07-13,20531.0,183337.0,118839,1903328
2022-07-14,20552.0,183722.0,118839,1903328
2022-07-15,20580.0,184107.0,118839,1903328
2022-07-16,20678.0,185444.0,118839,1903328
2022-07-17,20706.0,186067.0,118839,1903328
2022-07-18,20713.0,186242.0,118839,1903328
2022-07-19,20734.0,186452.0,118839,1903328
2022-07-20,20755.0,186767.0,118839,1903328
2022-07-21,20783.0,187124.0,118839,1903328
2022-07-22,20832.0,187733.0,118839,1903328
2022-07-23,20895.0,188895.0,118839,1903328
2022-07-24,20923.0,189420.0,118839,1903328
2022-07-25,20965.0,189945.0,118839,1903328
2022-07-26,20979.0,190463.0,118839,1903328
2022-07-27,21007.0,191023.0,118839,1903328
2022-07-28,21035.0,191576.0,118839,1903328
2022-07-29,21070.0,192094.0,118839,1903328
2022-07-30,21119.0,193032.0,118839,1903328
2022-07-31,21133.0,193487.0,118839,1903328
2022-08-01,21154.0,193970.0,118839,1903328
2022-08-02,21175.0,194418.0,118839,1903328
2022-08-03,21203.0,194873.0,118839,1903328
2022-08-04,21224.0,195258.0,118839,1903328
2022-08-05,21238.0,195671.0,118839,1903328
2022-08-06,21280.0,196378.0,118839,1903328
2022-08-07,21301.0,196784.0,118839,1903328
2022-08-08,21315.0,197162.0,118839,1903328
2022-08-09,21329.0,197449.0,118839,1903328
2022-08-10,21350.0,197813.0,118839,1903328
