covid_vacc_date,In a risk group,Not in a risk group,In a risk group_total,Not in a risk group_total
2021-10-02,9905.0,40355.0,89859,1094072
2021-10-03,10017.0,40495.0,89859,1094072
2021-10-04,10437.0,46172.0,89859,1094072
2021-10-05,10899.0,53046.0,89859,1094072
2021-10-06,11438.0,59486.0,89859,1094072
2021-10-07,11998.0,66290.0,89859,1094072
2021-10-08,12502.0,72772.0,89859,1094072
2021-10-09,12663.0,73031.0,89859,1094072
2021-10-10,12712.0,73234.0,89859,1094072
2021-10-11,13230.0,79912.0,89859,1094072
2021-10-12,13839.0,89691.0,89859,1094072
2021-10-13,14399.0,98441.0,89859,1094072
2021-10-14,14931.0,106582.0,89859,1094072
2021-10-15,15449.0,114618.0,89859,1094072
2021-10-16,15582.0,115325.0,89859,1094072
2021-10-17,15617.0,115521.0,89859,1094072
2021-10-18,16121.0,123333.0,89859,1094072
2021-10-19,16632.0,132342.0,89859,1094072
2021-10-20,17171.0,141043.0,89859,1094072
2021-10-21,17766.0,149604.0,89859,1094072
2021-10-22,18284.0,156954.0,89859,1094072
2021-10-23,18536.0,158648.0,89859,1094072
2021-10-24,18627.0,159663.0,89859,1094072
2021-10-25,18998.0,164241.0,89859,1094072
2021-10-26,19418.0,169610.0,89859,1094072
2021-10-27,19957.0,175987.0,89859,1094072
2021-10-28,20531.0,183484.0,89859,1094072
2021-10-29,21049.0,189056.0,89859,1094072
2021-10-30,21539.0,194096.0,89859,1094072
2021-10-31,21931.0,198590.0,89859,1094072
2021-11-01,22603.0,208446.0,89859,1094072
2021-11-02,23331.0,219478.0,89859,1094072
2021-11-03,23982.0,230405.0,89859,1094072
2021-11-04,24745.0,241472.0,89859,1094072
2021-11-05,25375.0,249837.0,89859,1094072
2021-11-06,25865.0,255157.0,89859,1094072
2021-11-07,26271.0,259651.0,89859,1094072
2021-11-08,26824.0,267743.0,89859,1094072
2021-11-09,27377.0,276290.0,89859,1094072
2021-11-10,27846.0,283164.0,89859,1094072
2021-11-11,28406.0,290479.0,89859,1094072
2021-11-12,28945.0,296695.0,89859,1094072
2021-11-13,29379.0,301581.0,89859,1094072
2021-11-14,29666.0,305137.0,89859,1094072
2021-11-15,30170.0,312165.0,89859,1094072
2021-11-16,30527.0,317205.0,89859,1094072
2021-11-17,30891.0,322679.0,89859,1094072
2021-11-18,31248.0,327747.0,89859,1094072
2021-11-19,31598.0,332227.0,89859,1094072
2021-11-20,31878.0,335118.0,89859,1094072
2021-11-21,32053.0,337379.0,89859,1094072
2021-11-22,32340.0,340879.0,89859,1094072
2021-11-23,32571.0,344407.0,89859,1094072
2021-11-24,32900.0,347851.0,89859,1094072
2021-11-25,33180.0,351239.0,89859,1094072
2021-11-26,33355.0,353528.0,89859,1094072
2021-11-27,33558.0,355852.0,89859,1094072
2021-11-28,33740.0,358008.0,89859,1094072
2021-11-29,33964.0,360969.0,89859,1094072
2021-11-30,34181.0,363909.0,89859,1094072
2021-12-01,34370.0,366268.0,89859,1094072
2021-12-02,34566.0,368319.0,89859,1094072
2021-12-03,34713.0,370160.0,89859,1094072
2021-12-04,34937.0,372673.0,89859,1094072
2021-12-05,35133.0,374948.0,89859,1094072
2021-12-06,35308.0,377048.0,89859,1094072
2021-12-07,35427.0,378700.0,89859,1094072
2021-12-08,35560.0,380177.0,89859,1094072
2021-12-09,35728.0,381766.0,89859,1094072
2021-12-10,35875.0,383579.0,89859,1094072
2021-12-11,36043.0,385672.0,89859,1094072
2021-12-12,36204.0,388192.0,89859,1094072
2021-12-13,36344.0,389963.0,89859,1094072
2021-12-14,36491.0,391888.0,89859,1094072
2021-12-15,36631.0,393512.0,89859,1094072
2021-12-16,36813.0,395556.0,89859,1094072
2021-12-17,36946.0,397250.0,89859,1094072
2021-12-18,37191.0,399931.0,89859,1094072
2021-12-19,37401.0,402962.0,89859,1094072
2021-12-20,37611.0,405769.0,89859,1094072
2021-12-21,37835.0,408422.0,89859,1094072
2021-12-22,38038.0,411033.0,89859,1094072
2021-12-23,38206.0,413455.0,89859,1094072
2021-12-24,38227.0,413833.0,89859,1094072
2021-12-25,38227.0,413840.0,89859,1094072
2021-12-26,38234.0,413924.0,89859,1094072
2021-12-27,38332.0,415226.0,89859,1094072
2021-12-28,38493.0,417501.0,89859,1094072
2021-12-29,38731.0,420651.0,89859,1094072
2021-12-30,38983.0,424074.0,89859,1094072
2021-12-31,39074.0,425327.0,89859,1094072
2022-01-01,39081.0,425460.0,89859,1094072
2022-01-02,39186.0,426923.0,89859,1094072
2022-01-03,39354.0,429254.0,89859,1094072
2022-01-04,39501.0,431361.0,89859,1094072
2022-01-05,39648.0,433363.0,89859,1094072
2022-01-06,39802.0,435085.0,89859,1094072
2022-01-07,39921.0,436625.0,89859,1094072
2022-01-08,40215.0,440559.0,89859,1094072
2022-01-09,40467.0,444052.0,89859,1094072
2022-01-10,40544.0,445172.0,89859,1094072
2022-01-11,40656.0,446621.0,89859,1094072
2022-01-12,40768.0,448203.0,89859,1094072
2022-01-13,40894.0,449904.0,89859,1094072
2022-01-14,40999.0,451444.0,89859,1094072
2022-01-15,41244.0,455210.0,89859,1094072
2022-01-16,41419.0,457737.0,89859,1094072
2022-01-17,41517.0,459228.0,89859,1094072
2022-01-18,41650.0,460782.0,89859,1094072
2022-01-19,41769.0,462287.0,89859,1094072
2022-01-20,41895.0,463897.0,89859,1094072
2022-01-21,42035.0,465696.0,89859,1094072
2022-01-22,42203.0,468377.0,89859,1094072
2022-01-23,42315.0,470001.0,89859,1094072
2022-01-24,42413.0,471212.0,89859,1094072
2022-01-25,42518.0,472654.0,89859,1094072
2022-01-26,42630.0,474138.0,89859,1094072
2022-01-27,42735.0,475776.0,89859,1094072
2022-01-28,42882.0,477456.0,89859,1094072
2022-01-29,43029.0,479416.0,89859,1094072
2022-01-30,43120.0,480725.0,89859,1094072
2022-01-31,43190.0,481796.0,89859,1094072
2022-02-01,43288.0,483189.0,89859,1094072
2022-02-02,43386.0,484505.0,89859,1094072
2022-02-03,43498.0,485891.0,89859,1094072
2022-02-04,43631.0,487396.0,89859,1094072
2022-02-05,43834.0,488901.0,89859,1094072
2022-02-06,43890.0,489573.0,89859,1094072
2022-02-07,44009.0,490693.0,89859,1094072
2022-02-08,44142.0,492100.0,89859,1094072
2022-02-09,44275.0,493437.0,89859,1094072
2022-02-10,44436.0,495222.0,89859,1094072
2022-02-11,44569.0,496727.0,89859,1094072
2022-02-12,44863.0,498260.0,89859,1094072
2022-02-13,44961.0,498974.0,89859,1094072
2022-02-14,45073.0,499912.0,89859,1094072
2022-02-15,45199.0,501123.0,89859,1094072
2022-02-16,45318.0,502369.0,89859,1094072
2022-02-17,45451.0,503538.0,89859,1094072
2022-02-18,45535.0,504098.0,89859,1094072
2022-02-19,45696.0,505204.0,89859,1094072
2022-02-20,45766.0,505673.0,89859,1094072
2022-02-21,45836.0,506401.0,89859,1094072
2022-02-22,45941.0,507171.0,89859,1094072
2022-02-23,46074.0,508074.0,89859,1094072
2022-02-24,46186.0,508781.0,89859,1094072
2022-02-25,46305.0,509467.0,89859,1094072
2022-02-26,46452.0,510349.0,89859,1094072
2022-02-27,46522.0,510818.0,89859,1094072
2022-02-28,46599.0,511413.0,89859,1094072
2022-03-01,46669.0,512141.0,89859,1094072
2022-03-02,46732.0,512743.0,89859,1094072
2022-03-03,46795.0,513394.0,89859,1094072
2022-03-04,46865.0,514101.0,89859,1094072
2022-03-05,46963.0,514955.0,89859,1094072
2022-03-06,47026.0,515368.0,89859,1094072
2022-03-07,47068.0,515865.0,89859,1094072
2022-03-08,47110.0,516341.0,89859,1094072
2022-03-09,47159.0,516992.0,89859,1094072
2022-03-10,47215.0,517601.0,89859,1094072
2022-03-11,47285.0,518210.0,89859,1094072
2022-03-12,47383.0,519106.0,89859,1094072
2022-03-13,47425.0,519575.0,89859,1094072
2022-03-14,47467.0,520072.0,89859,1094072
2022-03-15,47516.0,520625.0,89859,1094072
2022-03-16,47572.0,521045.0,89859,1094072
2022-03-17,47614.0,521458.0,89859,1094072
2022-03-18,47656.0,522011.0,89859,1094072
2022-03-19,47726.0,522844.0,89859,1094072
2022-03-20,47761.0,523250.0,89859,1094072
2022-03-21,47789.0,523817.0,89859,1094072
2022-03-22,47831.0,524258.0,89859,1094072
2022-03-23,47866.0,524699.0,89859,1094072
2022-03-24,47894.0,525154.0,89859,1094072
2022-03-25,47929.0,525644.0,89859,1094072
2022-03-26,47985.0,526596.0,89859,1094072
2022-03-27,48013.0,526967.0,89859,1094072
2022-03-28,48048.0,527338.0,89859,1094072
2022-03-29,48083.0,527744.0,89859,1094072
2022-03-30,48125.0,528185.0,89859,1094072
2022-03-31,48167.0,528675.0,89859,1094072
2022-04-01,48202.0,529109.0,89859,1094072
2022-04-02,48251.0,529949.0,89859,1094072
2022-04-03,48279.0,530432.0,89859,1094072
2022-04-04,48307.0,531216.0,89859,1094072
2022-04-05,48349.0,531972.0,89859,1094072
2022-04-06,48405.0,532749.0,89859,1094072
2022-04-07,48461.0,533505.0,89859,1094072
2022-04-08,48496.0,534338.0,89859,1094072
2022-04-09,48587.0,535892.0,89859,1094072
2022-04-10,48657.0,536893.0,89859,1094072
2022-04-11,48720.0,538118.0,89859,1094072
2022-04-12,48783.0,539385.0,89859,1094072
2022-04-13,48846.0,540708.0,89859,1094072
2022-04-14,48916.0,542087.0,89859,1094072
2022-04-15,48958.0,542773.0,89859,1094072
2022-04-16,49007.0,543991.0,89859,1094072
2022-04-17,49021.0,544327.0,89859,1094072
2022-04-18,49056.0,544845.0,89859,1094072
2022-04-19,49105.0,545832.0,89859,1094072
2022-04-20,49154.0,546728.0,89859,1094072
2022-04-21,49196.0,547827.0,89859,1094072
2022-04-22,49266.0,548814.0,89859,1094072
2022-04-23,49371.0,550368.0,89859,1094072
2022-04-24,49434.0,551285.0,89859,1094072
2022-04-25,49455.0,551733.0,89859,1094072
2022-04-26,49490.0,552209.0,89859,1094072
2022-04-27,49532.0,552818.0,89859,1094072
2022-04-28,49567.0,553315.0,89859,1094072
2022-04-29,49616.0,553889.0,89859,1094072
2022-04-30,49707.0,555359.0,89859,1094072
2022-05-01,49749.0,556024.0,89859,1094072
2022-05-02,49770.0,556318.0,89859,1094072
2022-05-03,49798.0,556731.0,89859,1094072
2022-05-04,49826.0,557319.0,89859,1094072
2022-05-05,49854.0,557767.0,89859,1094072
2022-05-06,49882.0,558271.0,89859,1094072
2022-05-07,49952.0,559489.0,89859,1094072
2022-05-08,49987.0,560105.0,89859,1094072
2022-05-09,50008.0,560406.0,89859,1094072
2022-05-10,50029.0,560742.0,89859,1094072
2022-05-11,50050.0,561141.0,89859,1094072
2022-05-12,50071.0,561484.0,89859,1094072
2022-05-13,50099.0,561925.0,89859,1094072
2022-05-14,50155.0,562891.0,89859,1094072
2022-05-15,50190.0,563416.0,89859,1094072
2022-05-16,50211.0,563640.0,89859,1094072
2022-05-17,50225.0,563906.0,89859,1094072
2022-05-18,50239.0,564235.0,89859,1094072
2022-05-19,50253.0,564487.0,89859,1094072
2022-05-20,50274.0,564851.0,89859,1094072
2022-05-21,50323.0,565635.0,89859,1094072
2022-05-22,50344.0,565957.0,89859,1094072
2022-05-23,50358.0,566153.0,89859,1094072
2022-05-24,50372.0,566384.0,89859,1094072
2022-05-25,50379.0,566650.0,89859,1094072
2022-05-26,50393.0,566860.0,89859,1094072
2022-05-27,50400.0,567098.0,89859,1094072
2022-05-28,50442.0,567707.0,89859,1094072
2022-05-29,50463.0,567987.0,89859,1094072
2022-05-30,50491.0,568379.0,89859,1094072
2022-05-31,50505.0,568813.0,89859,1094072
2022-06-01,50540.0,569254.0,89859,1094072
2022-06-02,50540.0,569296.0,89859,1094072
2022-06-03,50540.0,569345.0,89859,1094072
2022-06-04,50575.0,569688.0,89859,1094072
2022-06-05,50582.0,569828.0,89859,1094072
2022-06-06,50589.0,569975.0,89859,1094072
2022-06-07,50596.0,570115.0,89859,1094072
2022-06-08,50603.0,570283.0,89859,1094072
2022-06-09,50617.0,570423.0,89859,1094072
2022-06-10,50624.0,570584.0,89859,1094072
2022-06-11,50652.0,571186.0,89859,1094072
2022-06-12,50666.0,571452.0,89859,1094072
2022-06-13,50666.0,571564.0,89859,1094072
2022-06-14,50680.0,571718.0,89859,1094072
2022-06-15,50687.0,571900.0,89859,1094072
2022-06-16,50701.0,572054.0,89859,1094072
2022-06-17,50708.0,572215.0,89859,1094072
2022-06-18,50743.0,572719.0,89859,1094072
2022-06-19,50757.0,572908.0,89859,1094072
2022-06-20,50764.0,573006.0,89859,1094072
2022-06-21,50771.0,573132.0,89859,1094072
2022-06-22,50778.0,573286.0,89859,1094072
2022-06-23,50785.0,573398.0,89859,1094072
2022-06-24,50792.0,573573.0,89859,1094072
2022-06-25,50834.0,574140.0,89859,1094072
2022-06-26,50862.0,574357.0,89859,1094072
2022-06-27,50869.0,574483.0,89859,1094072
2022-06-28,50883.0,574630.0,89859,1094072
2022-06-29,50897.0,574798.0,89859,1094072
2022-06-30,50904.0,574952.0,89859,1094072
2022-07-01,50918.0,575127.0,89859,1094072
2022-07-02,50960.0,575603.0,89859,1094072
2022-07-03,50967.0,575785.0,89859,1094072
2022-07-04,50981.0,575918.0,89859,1094072
2022-07-05,50988.0,576037.0,89859,1094072
2022-07-06,51002.0,576170.0,89859,1094072
2022-07-07,51016.0,576345.0,89859,1094072
2022-07-08,51023.0,576485.0,89859,1094072
2022-07-09,51044.0,576905.0,89859,1094072
2022-07-10,51058.0,577066.0,89859,1094072
2022-07-11,51065.0,577178.0,89859,1094072
2022-07-12,51072.0,577297.0,89859,1094072
2022-07-13,51079.0,577451.0,89859,1094072
2022-07-14,51093.0,577619.0,89859,1094072
2022-07-15,51100.0,577766.0,89859,1094072
2022-07-16,51128.0,578151.0,89859,1094072
2022-07-17,51135.0,578284.0,89859,1094072
2022-07-18,51142.0,578382.0,89859,1094072
2022-07-19,51149.0,578466.0,89859,1094072
2022-07-20,51156.0,578592.0,89859,1094072
2022-07-21,51163.0,578802.0,89859,1094072
2022-07-22,51177.0,578984.0,89859,1094072
2022-07-23,51198.0,579306.0,89859,1094072
2022-07-24,51205.0,579425.0,89859,1094072
2022-07-25,51219.0,579614.0,89859,1094072
2022-07-26,51226.0,579782.0,89859,1094072
2022-07-27,51240.0,579936.0,89859,1094072
2022-07-28,51247.0,580139.0,89859,1094072
2022-07-29,51261.0,580300.0,89859,1094072
2022-07-30,51275.0,580531.0,89859,1094072
2022-07-31,51282.0,580615.0,89859,1094072
2022-08-01,51289.0,580755.0,89859,1094072
2022-08-02,51303.0,580895.0,89859,1094072
2022-08-03,51310.0,581007.0,89859,1094072
2022-08-04,51317.0,581119.0,89859,1094072
2022-08-05,51324.0,581210.0,89859,1094072
2022-08-06,51345.0,581378.0,89859,1094072
2022-08-07,51352.0,581462.0,89859,1094072
2022-08-08,51359.0,581560.0,89859,1094072
2022-08-09,51366.0,581665.0,89859,1094072
2022-08-10,51373.0,581749.0,89859,1094072
