covid_vacc_date,total,"under 55s, not in other eligible groups shown",70-79,55-59,60-64,80+,65-69,shielding (aged 16-69),care home,LD (aged 16-64)
20 Mar,9630530.0,2659314.0,1956199.0,1063006.0,1078091.0,1072127.0,972258.0,691467.0,79016.0,59052.0
21 Mar,9755207.0,2739037.0,1956493.0,1097117.0,1086253.0,1072232.0,973133.0,692601.0,79023.0,59318.0
22 Mar,9867018.0,2811214.0,1956906.0,1126237.0,1093253.0,1072442.0,974211.0,694036.0,79058.0,59661.0
23 Mar,9979368.0,2888011.0,1957389.0,1151780.0,1099273.0,1072722.0,975352.0,695632.0,79142.0,60067.0
24 Mar,10090941.0,2966866.0,1957963.0,1173809.0,1105433.0,1073058.0,976528.0,697557.0,79240.0,60487.0
25 Mar,10207645.0,3053246.0,1958586.0,1193780.0,1111047.0,1073527.0,977725.0,699426.0,79345.0,60963.0
26 Mar,10339343.0,3152583.0,1959251.0,1215123.0,1116976.0,1074010.0,978894.0,701575.0,79464.0,61467.0
27 Mar,10517535.0,3293563.0,1960035.0,1239511.0,1124025.0,1074395.0,980364.0,703906.0,79513.0,62223.0
28 Mar,10611321.0,3367595.0,1960350.0,1253378.0,1127336.0,1074535.0,981043.0,705012.0,79527.0,62545.0
29 Mar,10684128.0,3424176.0,1960756.0,1263738.0,1130283.0,1074766.0,981757.0,706181.0,79590.0,62881.0
30 Mar,10754947.0,3480442.0,1961239.0,1272474.0,1132950.0,1075179.0,982548.0,707287.0,79646.0,63182.0
31 Mar,10821524.0,3534034.0,1961764.0,1280132.0,1135078.0,1075480.0,983248.0,708561.0,79702.0,63525.0
01 Apr,10821524.0,3534034.0,1961764.0,1280132.0,1135078.0,1075480.0,983248.0,708561.0,79702.0,63525.0
