covid_vacc_date,total,12-15,5-11
2021 16 Dec,456337.0,456183.0,154.0
2021 17 Dec,458269.0,458108.0,161.0
2021 18 Dec,461363.0,461188.0,175.0
2021 19 Dec,464793.0,464618.0,175.0
2021 20 Dec,467985.0,467803.0,182.0
2021 21 Dec,470995.0,470806.0,189.0
2021 22 Dec,473963.0,473760.0,203.0
2021 23 Dec,476686.0,476469.0,217.0
2021 24 Dec,477099.0,476882.0,217.0
2021 25 Dec,477113.0,476896.0,217.0
2021 26 Dec,477211.0,476987.0,224.0
2021 27 Dec,478646.0,478422.0,224.0
2021 28 Dec,481187.0,480956.0,231.0
2021 29 Dec,484715.0,484477.0,238.0
2021 30 Dec,488558.0,488313.0,245.0
2021 31 Dec,489958.0,489713.0,245.0
2022 01 Jan,490105.0,489860.0,245.0
2022 02 Jan,491729.0,491484.0,245.0
2022 03 Jan,494340.0,494088.0,252.0
2022 04 Jan,496671.0,496412.0,259.0
2022 05 Jan,498918.0,498652.0,266.0
2022 06 Jan,500871.0,500598.0,273.0
2022 07 Jan,502607.0,502327.0,280.0
2022 08 Jan,507031.0,506751.0,280.0
2022 09 Jan,510951.0,510664.0,287.0
2022 10 Jan,512190.0,511903.0,287.0
2022 11 Jan,513835.0,513541.0,294.0
2022 12 Jan,515620.0,515319.0,301.0
2022 13 Jan,517538.0,517230.0,308.0
2022 14 Jan,519288.0,518966.0,322.0
2022 15 Jan,523453.0,523117.0,336.0
2022 16 Jan,526281.0,525945.0,336.0
2022 17 Jan,527933.0,527590.0,343.0
2022 18 Jan,529697.0,529347.0,350.0
2022 19 Jan,531391.0,531034.0,357.0
2022 20 Jan,533204.0,532840.0,364.0
2022 21 Jan,535227.0,534856.0,371.0
2022 22 Jan,538202.0,537831.0,371.0
2022 23 Jan,540043.0,539665.0,378.0
2022 24 Jan,541394.0,541016.0,378.0
2022 25 Jan,543004.0,542619.0,385.0
2022 26 Jan,544663.0,544278.0,385.0
2022 27 Jan,546469.0,546077.0,392.0
2022 28 Jan,548380.0,547967.0,413.0
2022 29 Jan,550641.0,550144.0,497.0
2022 30 Jan,552097.0,551600.0,497.0
2022 31 Jan,553308.0,552790.0,518.0
2022 01 Feb,554939.0,554344.0,595.0
2022 02 Feb,556444.0,555793.0,651.0
2022 03 Feb,558194.0,557319.0,875.0
